#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z                    8521.327336068145     All      0.003921927341572982      -0.002717023497922355      -0.017878303727592026      -0.0029603512867020995     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7553.698678940962     All      0.2622456676788361        -0.022688220951927462      0.19576912891592357        -0.08407606448510817       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6096.4972970465815    All      0.783341928119423         0.03342156450640843        0.47464005068382775        -0.2230927285567851        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4264.298028973929     All      -0.6731376587336192       0.6944839324646068         1.1706735342309926         0.4977211287908378         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4232.541168371246     All      -0.38625112705250475      0.018390428869263786       -1.2497782271632119        0.07603320482097997        
Zeropoint     AB|SDSS|SDSS_g                    4523.090254749872     All      -0.048261774341609595     0.022235184277086262       -0.13414207608457573       0.016977033939774913       
Zeropoint     AB|SDSS|SDSS_r                    5910.326815195017     All      0.025788685591189887      -0.014997353538515057      -0.22441024560908573       -0.023299753347931496      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    7874.888070900543     All      0.23084983017631955       -0.024132604273496838      0.1511113293390931         -0.07631276297405884       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6097.678271603484     All      0.5236568859320443        -0.02920041042884236       -0.020783333991936104      -0.18101127463119931       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5157.274149579468     All      0.2920765049774824        0.3255095039894407         0.6975073904656792         0.04201677899210304        
Zeropoint     AB|SDSS|SDSS_i                    7167.304283344275     All      0.01925517202024816       -0.01603239849181648       -0.13076285020447997       -0.017329668074944106      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5154.276703913279     All      -0.02841732080846958      0.007515787891154702       -0.9176534209198284        -0.029246061878303656      
Zeropoint     AB|SDSS|SDSS_u                    3439.749300551186     All      -0.007377236564134254     0.005366632964509677       0.015808960473329137       0.0048565788643289975      
Check         All|All|All                       All                   All      0.9976914843367793        0.9971550237799498         0.010101936408135614       0.00027606017299190017     
Lambda        AB|SDSS|SDSS_z                    8521.327336068145     All      2.8447440620160996e-06    -1.9067529482808576e-06    -1.2580268538022034e-05    -2.1091185016306113e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7553.698678940962     All      -6.933087324006914e-05    4.9462440321093755e-06     -5.060824775129439e-05     2.1936087078257712e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6096.4972970465815    All      -6.985978016740722e-05    -6.8353087073438996e-06    -4.531231586932689e-05     1.8507063252757504e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4264.298028973929     All      -0.0002420835122298333    0.0002419839254378692      0.0004566772759712689      0.00017805609917777404     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4232.541168371246     All      -0.0004974624273246031    2.3299228483669703e-05     -0.0015799299638650428     9.912418591490616e-05      
Lambda        AB|SDSS|SDSS_g                    4523.090254749872     All      -4.341762549041071e-05    1.6815511849164647e-05     -0.0001001200888889989     1.515201471067834e-05      
Lambda        AB|SDSS|SDSS_r                    5910.326815195017     All      -9.91249344303719e-06     6.551058945381827e-06      8.289484361135448e-05      9.061936795822339e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    7874.888070900543     All      1.7331986209706998e-06    3.5074231284816305e-07     -1.7977152373801563e-06    -5.305352754539473e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6097.678271603484     All      -5.643668541761514e-05    3.4561375474967646e-07     2.877138409976013e-05      1.977979765277914e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5157.274149579468     All      7.00773927979081e-05      9.545102819021505e-05      0.00024879349793891805     1.936753896089209e-05      
Lambda        AB|SDSS|SDSS_i                    7167.304283344275     All      1.4772225662949814e-05    -1.1675091526222337e-05    -9.378643407626284e-05     -1.2800019106716666e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5154.276703913279     All      -2.608760189679206e-05    6.119584384466092e-07      -0.0012423875827573528     -4.674512654805169e-05     
Lambda        AB|SDSS|SDSS_u                    3439.749300551186     All      9.217349537084486e-06     -7.5837916438307974e-06    -2.5721585357129416e-05    -6.620520643271015e-06     
MWEBV         All|All|All                       All                   All      -0.7769155550461693       -3.88989126624697          0.0578143069364323         -1.0114186160099379        
Redshift      All|All|All                       All                   All      6.128717684095555         0.48212805010123816        7.360314804099355          -1.5108229660692851        
