#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z                    8521.327336068145     All      0.010442829708049349       -0.00871446160441991       -0.049629292043232034      -0.008454887401430635      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7553.698678940962     All      0.22371623010350677        -0.01558825134564401       0.2759191189705119         -0.06563633946260282       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6096.4972970465815    All      0.6993407519526935         0.05741458528847332        0.6733494979692608         -0.17904797571414707       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4264.298028973929     All      -0.44058977111429964       0.5285455342376011         1.0818482328425534         0.36395717044017284        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4232.541168371246     All      -0.5759946736558226        0.12267634497700186        -1.170297889526837         0.17535511653669308        
Zeropoint     AB|SDSS|SDSS_g                    4523.090254749872     All      -0.042280978515075826      0.023088564752882235       -0.08366423202449688       0.017559460417134198       
Zeropoint     AB|SDSS|SDSS_r                    5910.326815195017     All      0.052586610188372324       -0.04392862637585537       -0.5226358612398424        -0.054761025913383096      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    7874.888070900543     All      0.16265451005981663        -0.03434162106294991       0.03576469203645695        -0.06257210694259673       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6097.678271603484     All      0.6916350982908716         -0.07179750593495626       0.01186175012105216        -0.24814577995415105       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5157.274149579468     All      0.18171614337255965        0.4261295038944013         0.9410888030294523         0.12160994349735396        
Zeropoint     AB|SDSS|SDSS_i                    7167.304283344275     All      0.04866225787764604        -0.046733848854429993      -0.3131099411334561        -0.045046309012169224      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5154.276703913279     All      -0.013359999866031362      0.05676261420024531        -0.8967447763733285        -0.017176358402889037      
Zeropoint     AB|SDSS|SDSS_u                    3439.749300551186     All      -0.0014915361667812623     0.0032667843764322413      0.01616782980265062        0.00227143753295656        
Check         All|All|All                       All                   All      0.9970374722355053         0.9967796165487819         -8.206756925478731e-05     -8.76543790590636e-05      
Lambda        AB|SDSS|SDSS_z                    8521.327336068145     All      4.448213374961359e-06      -3.651359666577969e-06     -2.074277966924801e-05     -3.5639523961649205e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7553.698678940962     All      -5.853775142088365e-05     3.966716810703006e-06      -7.930287745664137e-05     1.682083844300547e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6096.4972970465815    All      -0.00014648378962283406    -1.1671311898230442e-05    -0.00021851705408382265    3.416144668244949e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4264.298028973929     All      -0.00012441374966205225    0.00013499181095504766     0.00033077471611677795     9.925788166941319e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4232.541168371246     All      -0.0005205707466256945     0.00010372496718539476     -0.001127737181984588      0.00015302792178475592     
Lambda        AB|SDSS|SDSS_g                    4523.090254749872     All      -3.263351576077421e-05     1.795214798594591e-05      -6.536123463771713e-05     1.3560643192623084e-05     
Lambda        AB|SDSS|SDSS_r                    5910.326815195017     All      -1.022619259333582e-05     8.587196533920436e-06      0.00010111955036003914     1.0640640888137336e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    7874.888070900543     All      7.190373977244228e-06      -2.2884150260106612e-06    -4.417126058426494e-06     -3.2846694701170427e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6097.678271603484     All      -0.0001538360584659533     -3.095903762984169e-06     -0.0002285876410107937     3.890021103729328e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5157.274149579468     All      8.832928026770108e-05      8.735018536040415e-05      0.0004181136179123819      1.8339567018468858e-05     
Lambda        AB|SDSS|SDSS_i                    7167.304283344275     All      1.890016942627312e-05      -1.7913983526890775e-05    -0.00011898134185354472    -1.7301171591889097e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5154.276703913279     All      -0.00011998472437142846    -8.767794376218086e-06     -0.001681065328899653      -3.8791211747244984e-05    
Lambda        AB|SDSS|SDSS_u                    3439.749300551186     All      -1.9569673583269814e-06    3.891330970303832e-06      1.864584789097078e-05      2.7370617230273e-06        
MWEBV         All|All|All                       All                   All      -0.7715307484220135        -3.8995307629503984        0.021268326366365976       -1.0179434051518543        
Redshift      All|All|All                       All                   All      6.901669063738575          0.7326594222830884         9.963212193116702          -1.564836993810586         
