#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3740.290251322395    All      -1.0885079483490032       0.4535215312076346         -0.07034757706460859      0.4991504434849468        
Zeropoint     AB|SDSS|SDSS_r            4887.441223572433    All      0.751067740422089         0.39052477824892406        -0.3199720711880922       -0.13171958824948976      
Zeropoint     AB|SDSS|SDSS_z            7046.562365177756    All      0.09661851784350728       0.011954280187609356       0.10834332272890894       -0.02274306268470274      
Zeropoint     AB|SDSS|SDSS_i            5926.876721308387    All      1.2386021327635373        0.14275625835260541        0.2841531987667245        -0.3442726013615279       
Check         All|All|All               All                  All      0.99778044268013          0.9987568479967734         0.0021768732429326976     0.00041519118922644926    
Lambda        AB|SDSS|SDSS_g            3740.290251322395    All      -0.001794473391452957     0.0005258781923976513      -0.0018935642858545945    0.0006713137709083156     
Lambda        AB|SDSS|SDSS_r            4887.441223572433    All      -9.188740798546716e-05    -4.059378716127546e-05     -0.0009984172508267352    -2.78467565273847e-05     
Lambda        AB|SDSS|SDSS_z            7046.562365177756    All      -4.200119677444782e-05    -5.605121035173277e-06     -5.054882111081556e-05    9.599637539769645e-06     
Lambda        AB|SDSS|SDSS_i            5926.876721308387    All      -0.0001775470197903072    -2.4951792903070592e-05    -7.823540632590818e-05    4.6213998768920913e-05    
MWEBV         All|All|All               All                  All      -0.5477866091569545       -2.974437498647653         0.15397847945444862       -0.7835686768095892       
Redshift      All|All|All               All                  All      4.605309317278005         -0.13827792689760088       4.262469365431028         -1.354927993847412        
