#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3740.290251322395    All      -1.1167336059870527       0.4916538467840681        0.10008406433801298       0.5283709998649605        
Zeropoint     AB|SDSS|SDSS_r            4887.441223572433    All      0.5301892722832156        0.35167713580399607       -0.7744263029897169       -0.09270636481720218      
Zeropoint     AB|SDSS|SDSS_z            7046.562365177756    All      0.14971139344906353       0.029357558856624166      0.38223075410437346       -0.02214600041698378      
Zeropoint     AB|SDSS|SDSS_i            5926.876721308387    All      1.434616603934217         0.1266130942955357        0.2985974891651644        -0.41273474059382864      
Check         All|All|All               All                  All      0.9977836636794434        0.999301635740224         0.006486004617833885      0.000783894036945898      
Lambda        AB|SDSS|SDSS_g            3740.290251322395    All      -0.0022263453161252703    0.0006942110199872491     -0.002219680498884282     0.000852267136079926      
Lambda        AB|SDSS|SDSS_r            4887.441223572433    All      4.632487347783486e-06     -2.849043876851573e-05    -0.0015517477966129197    -8.003660399096718e-05    
Lambda        AB|SDSS|SDSS_z            7046.562365177756    All      -4.459974406197677e-05    -5.573380637575241e-06    -6.987190499630279e-05    9.594108286615001e-06     
Lambda        AB|SDSS|SDSS_i            5926.876721308387    All      -4.086730293205009e-05    4.342377687103661e-05     0.0005787824824879015     5.328478172766425e-05     
MWEBV         All|All|All               All                  All      -0.5085995553614606       -2.9924061193291607       0.1369889590986162        -0.8029443246160228       
Redshift      All|All|All               All                  All      5.770864924894052         -0.3277200150172632       9.21597180379079          -1.575243258238429        
