#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5334.111793909758     All      0.08539540426128844       0.4283635183613299         0.22880875762817388        0.1219266820505216         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6103.487718686943     All      0.7715959349958953        -0.07324732801610168       -0.7895749758423443        -0.3104283500659277        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4316.2592892618195    All      -0.4575150411309488       0.26756192751928864        0.04410807382895232        0.23814976376703711        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7488.51043225644      All      0.3045729023115509        -0.14686330777156087       0.530026907748693          -0.1233949588669514        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6146.573088970689     All      0.611846554668297         -0.14277281378998197       0.7004783699450123         -0.21454522207681181       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4715.10893422857      All      -0.4411274382035184       0.22286209654343025        -0.7759174293986093        0.1816576048597196         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5272.6580339957145    All      0.024692452594907488      0.30357713657789276        -0.18810306288146172       0.08244774083655537        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4313.202370728754     All      -0.1787724106166232       0.20987974806363496        0.28772154845687625        0.139436485608746          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7462.4483163614805    All      0.277080651928437         -0.08184187089987915       -0.013123458691677303      -0.1174985135729889        
Check         All|All|All                                All                   All      0.9977690108092857        0.9875191065880529         0.02442473079361518        -0.002248767460100165      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5334.111793909758     All      8.115808993413502e-05     0.0003640197270675394      0.0001078667414849186      9.695093834424699e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6103.487718686943     All      0.0003172999494340267     7.136393665186276e-05      -0.000887165927847026      -0.00011969959117172851    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4316.2592892618195    All      -0.0006331922939132105    0.0003566031830105323      -6.654201818520958e-05     0.0003194394854828564      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7488.51043225644      All      -7.919235489491316e-05    5.73248730534052e-05       -0.00012336947305914843    3.89627394590277e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6146.573088970689     All      0.00014852283238827495    -2.2892959723922943e-05    0.00010226307011169002     -5.1272231761204025e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4715.10893422857      All      -0.0005887826906506027    0.00028732821792390434     -0.001401614699634199      0.00022283051945427422     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5272.6580339957145    All      -7.605594715676884e-05    0.0003083182250280676      -0.0006903915473424432     9.439430951104943e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4313.202370728754     All      -0.0002124292732084655    0.0002490612161293717      0.00032640728628570106     0.0001648886930159538      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7462.4483163614805    All      1.0914586340009786e-05    -2.3976936325868966e-05    -0.0004069475761239249     -2.952551810907377e-05     
MWEBV         All|All|All                                All                   All      -0.8195620419588723       -4.046918232628194         0.050075634794299884       -1.0490214425741051        
Redshift      All|All|All                                All                   All      7.879925910299167         -7.0380324314092135        9.896478844737677          -4.417635420188703         
