#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_g
@MAGSYS  Linear_AB11_off
53861.18  19.135  0.019
53862.15  19.229  0.02
53866.15  19.524  0.046
53867.18  19.551  0.05
53870.21  20.114  0.089
53871.16  20.083  0.061
53872.19  20.149  0.046
53890.11  21.429  0.122
