#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7343.585750344044    All      0.35253634242843396        -0.40116255876725404      -0.4140877366666462       -0.2639833619280191       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6031.740394590782    All      1.1086934785919547         -0.13523164225350826      -0.9701805259647367       -0.44848203677610166      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5222.739675637119    All      0.8654104584869675         1.2709069819827334        2.6862739131265023        0.2519596252749501        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4218.771727660533    All      -1.3426466169849167        0.2337778769704535        -1.3725436964974747       0.45224299919713884       
Check         All|All|All                                All                  All      0.9839936625224397         0.9682906579324246        -0.07053804600235525      -0.008262774232031811     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7343.585750344044    All      -0.00018617693682660623    0.00032296275945146183    -0.0005395058870272366    0.00014176787939913245    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6031.740394590782    All      -0.000458731763413932      6.183798448208456e-05     -0.000692396131603147     0.00013866823383269883    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5222.739675637119    All      1.561666507069378e-05      0.00011419698209390657    -0.0008416910302732456    -5.449952483459893e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4218.771727660533    All      -0.000441706227937763      1.5953097828581463e-05    -0.0007526088916549213    0.00011548922071974602    
MWEBV         All|All|All                                All                  All      -0.8565720154409378        -3.9368901431418912       -0.02715739004077733      -1.004572863236658        
Redshift      All|All|All                                All                  All      9.901657071120534          -1.2304901132262458       17.529214651454726        -2.8438582335822415       
