#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7343.585750344044    All      0.37816220601689154        -0.6593318609885657        -0.26097676192556973      -0.3495921444264692       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6031.740394590782    All      1.1268794202907269         -0.026624102936878558      -1.0982926683509469       -0.42474580416667274      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5222.739675637119    All      0.8064059355708513         1.586989234073144          2.4939150047761567        0.36555363327577406       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4218.771727660533    All      -1.3153823277679204        0.07143950143717603        -1.1900619468674611       0.3986264959232098        
Check         All|All|All                                All                  All      0.9960652341105494         0.9724727715848758         -0.05541637236782093      -0.010157819394157996     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7343.585750344044    All      -0.0001705266655851238     0.000395215499235085       -0.0006741907935234479    0.00015419479677768614    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6031.740394590782    All      -0.00035800977407588266    1.1717393044891122e-06     -0.0007755684017867216    8.238717991387326e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5222.739675637119    All      0.00015886811843759415     0.00042624918188557015     -0.0001998456134199699    7.817661707147888e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4218.771727660533    All      -0.0007797535611599445     -4.1818783146868466e-05    -0.0010023257370032246    0.00019564044040509262    
MWEBV         All|All|All                                All                  All      -0.8447066533180014        -3.9739992195444884        -0.044835533145969705     -1.0213143434096044       
Redshift      All|All|All                                All                  All      9.800162441670743          -2.7707972495220723        14.313971648565895        -3.45600833072941         
