#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_R    6322.316030384222    All      1.1326375802056687         -0.10082202122969619      -0.18912876554653402      -0.410218319972391        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5290.220366149123    All      0.3898045246919092         0.5825672760617628        0.28250376331205307       0.07539601529107653       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7682.867538489186    All      0.4754063417028026         -0.15475591772755593      0.07450274710933402       -0.20193986419426052      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4228.615423374664    All      -1.0011463086352925        0.6717742386977754        -0.1708163851592448       0.537302508979235         
Check         All|All|All                                All                  All      0.9967021379650882         0.9987635758022861        -0.0029386402843917248    0.0005403401036599975     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_R    6322.316030384222    All      -0.00024951979241230474    -6.180558112199285e-05    -0.0005302259353660855    3.748314597562155e-05     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5290.220366149123    All      -4.839877756745493e-05     0.00042710189329920196    -0.0014628564148143092    8.96056488720184e-05      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7682.867538489186    All      -7.467552794718674e-05     1.6328622895074662e-05    -2.978025724682768e-05    2.831408977180652e-05     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4228.615423374664    All      -0.0009131846004765832     0.0006517244843498029     -0.0005284338148443256    0.00048616079875984155    
MWEBV         All|All|All                                All                  All      -0.7890099527521053        -3.957520495981548        -0.009710050528999314     -1.0325214397888975       
Redshift      All|All|All                                All                  All      7.39811485632611           -2.5300015022732936       9.104246656093423         -2.8276334093532918       
