#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_R    6322.316030384222    All      1.2138617018574684        -0.09952850254659751       -0.07565211354167521      -0.4311904051984611      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5290.220366149123    All      0.3810169928702136        0.5807053979788535         0.2375813063039532        0.07564724562615029      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7682.867538489186    All      0.45147038221348745       -0.16065454652345323       0.07324010805740257       -0.19612085795865686     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4228.615423374664    All      -1.0490256353886163       0.678588000233038          -0.23588801127958528      0.5522139993734043       
Check         All|All|All                                All                  All      0.9973234415525534        0.9991103491418407         -0.0007187104599047645    0.0005499818424365976    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_R    6322.316030384222    All      -0.0002850755164450979    -4.8655877322139694e-05    -0.000534738519584527     5.314673027357592e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5290.220366149123    All      1.598715780459385e-05     0.00044217438204694935     -0.0014223590416525377    7.534984870878104e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7682.867538489186    All      -7.83461856811673e-05     1.1883826448455831e-05     -5.461409747298109e-05    2.695370709310252e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4228.615423374664    All      -0.0008898926195587049    0.0006270029505639992      -0.0005217819602101554    0.000470818059144597     
MWEBV         All|All|All                                All                  All      -0.7854831224138623       -3.9586251180637078        -0.0026567240634134946    -1.0337152986470792      
Redshift      All|All|All                                All                  All      7.293088877166575         -2.429386651255605         9.047709171578044         -2.763172433848856       
