#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7218.405691400305    All      0.8415085273294616         -0.11004417529871802       0.5869527119949027         -0.2837590166400254        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4191.094855990215    All      -0.20883179087537523       0.1896378269419685         -0.13417453386547878       0.1238070705790792         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5252.215222653048    All      -0.07769087918085865       0.2637346283261621         -0.4712092518438958        0.09018561563661469        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5948.533800752202    All      1.2842042513379637         -0.10701169757956208       -0.38218375170909585       -0.47021990973995836       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4512.551501509747    All      -0.8411932990019544        0.7636053587271263         0.39429509794737927        0.5403312984195022         
Check         All|All|All                      All                  All      0.9979968096092371         0.9999219411169769         -0.006319727476188419      0.00034505825521236044     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7218.405691400305    All      0.00011233067690277488     -0.00019360533832546802    -0.0001645445055469071     -0.00010699629071275869    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4191.094855990215    All      -0.00020502397023559752    0.00019615683664662265     -0.0001680786842699168     0.00012317720753656078     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5252.215222653048    All      -0.00023027341643430316    0.0003264255823463414      -0.0015477652628517332     0.00011226552370356907     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5948.533800752202    All      -0.0001392719546686918     -0.00020383409116552534    -0.0013655853193859121     -8.19698127858969e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4512.551501509747    All      -0.0006079555139182342     0.0006145727792459467      -0.00024197880791854804    0.00038741928224082735     
MWEBV         All|All|All                      All                  All      -0.7564283847607167        -3.904932050838106         0.07480389284005912        -1.0222330725597073        
Redshift      All|All|All                      All                  All      6.853133322798229          1.2056005000096626         23.55313815084462          -0.7885188586719389        
