#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7218.405691400305    All      1.5993749077629007         -0.017089194458463908     2.3850627275906255        -0.4201011428473775        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4191.094855990215    All      -0.599331907879421         0.25387750180776436       -0.46075999743120377      0.25735677199971024        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5252.215222653048    All      -0.10195516823983664       0.22032527407098712       -1.1907819851343149       0.05183821183955134        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5948.533800752202    All      1.3583139832039595         -0.04501462166448533      0.45076686850169523       -0.43699463970153507       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4512.551501509747    All      -1.1251007779596869        0.5476150888632958        -1.0255936651359931       0.4990910536479973         
Check         All|All|All                      All                  All      1.1313010368879155         0.959714048619098         0.15869394839080897       -0.04880974506165364       
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7218.405691400305    All      -0.0005223220480252142     -0.00031667693911779      -0.0027717302586707775    -5.670421385357405e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4191.094855990215    All      -0.0005172666815256194     0.00014220328574283223    -0.000731608070615123     0.00018216275621960254     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5252.215222653048    All      5.580537796700078e-05      0.0001921192398569967     -0.0008539041626278444    6.296088472306593e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5948.533800752202    All      -0.00016058704374511486    -0.0004911993321737198    -0.0032172760807261916    -0.00025126355423064927    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4512.551501509747    All      -0.0005053069580508992     0.0004257875649353354     0.00020629481869708475    0.00031249410851717763     
MWEBV         All|All|All                      All                  All      -0.8282378024832497        -3.925923476870441        -0.19499962032440976      -1.0177200724337574        
Redshift      All|All|All                      All                  All      10.665482307789658         3.0396525284237086        45.22317142888017         -0.4658812031300863        
