#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6334.458328985049    All      1.3212159644549968        -0.2038830795414892        0.048420154110027175      -0.4946141638056718        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8185.28101404677     All      0.3663084420724161        -0.1415323147674563        -0.008499533132159105     -0.1657997370941297        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5315.039934414928    All      0.356408132445874         0.6951924310374835         0.24494676203158527       0.12128404071333446        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4306.078666160228    All      -1.046339284434401        0.6483248144787623         -0.287769135051887        0.5391660349873143         
Check         All|All|All                       All                  All      0.9975932545388861        0.9981018512073003         -0.0029017520424336474    3.617480084716629e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6334.458328985049    All      -0.0003535560498002594    -1.1270348983235278e-06    -0.0007038462412210096    8.338829962692427e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8185.28101404677     All      -6.137788826301224e-06    -3.23244716598291e-06      -5.420885679047905e-05    -1.4727269446180185e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5315.039934414928    All      9.189710749384907e-06     0.0001410752708261526      -0.001952641642437938     -4.4177962520270315e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4306.078666160228    All      -0.000838384884177367     0.0004950368498661098      -0.0007243640587120837    0.0004020142859934598      
MWEBV         All|All|All                       All                  All      -0.8552116935941108       -4.108273305388277         -0.01964416055936105      -1.0605058181728988        
Redshift      All|All|All                       All                  All      5.947549599463969         -2.088157025307602         5.016790673807129         -2.3936176880977182        
