#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_N2_I
@MAGSYS  Linear_AB11_off
56135.35  14.26  0.012
56139.34  14.286  0.012
56146.3  14.318  0.007
56149.3  14.321  0.009
56154.27  14.318  0.014
56156.28  14.341  0.009
56158.3  14.365  0.026
56167.24  14.644  0.015
56170.25  14.816  0.013
56175.23  14.946  0.024
56178.21  15.058  0.013
56180.21  15.151  0.024
56191.18  15.58  0.058
56203.15  16.155  0.077
56207.14  16.347  0.016
56211.16  16.453  0.033
56230.11  17.524  0.076
56239.1  17.798  0.084
