#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           4441.988634603877     All      2.001760770037679         0.7407458649559828         1.0306434147079657         -0.3647611587187963        
Zeropoint     AB|MEGACAMPSF|r           3626.4523535099547    All      -2.005373259247287        0.1308006522387828         -0.5307145089733775        0.6721387699533281         
Zeropoint     AB|MEGACAMPSF|z           5114.170982265573     All      1.0061410924746073        0.1277203899407553         -0.499911001508729         -0.3084392539871491        
Check         All|All|All               All                   All      1.0025286032649987        0.9992669071355209         1.7904225859233236e-05     -0.0010616427526172756     
Lambda        AB|MEGACAMPSF|i           4441.988634603877     All      -0.0005474189296654629    -0.00026962976499671513    -0.0029279558778616153     -4.0176153289346416e-05    
Lambda        AB|MEGACAMPSF|r           3626.4523535099547    All      -0.0034888762909565016    0.0001683309806762497      -0.002069881367077506      0.001098903428124799       
Lambda        AB|MEGACAMPSF|z           5114.170982265573     All      0.00036724543273217907    3.5109028514185166e-05     -0.00043022196825372926    -0.00012738658432206998    
MWEBV         All|All|All               All                   All      -0.21693224599729422      -1.8935364308763525        -0.04558656417499095       -0.54815946064203          
Redshift      All|All|All               All                   All      9.486583314813828         1.349274695052216          7.851582563651389          -2.300209058156798         
