#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7373.769838831559    All      1.1476565158899623        -0.19173057145724925      -0.21604626040934471       -0.4459235912127987        
Zeropoint     AB|CNIa02|SDSS_g                      4653.385035750897    All      -1.5979390803401814       1.078951178883436         -0.7239914367242525        0.8396428118542003         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5392.852507291346    All      1.4484304748928738        0.11104882409611605       0.9309447915205025         -0.394085411843143         
Check         All|All|All                           All                  All      0.9981479104426549        0.9982694315223029        -0.009092905613094726      -0.00036619120174136155    
Lambda        AB|CNIa02|SDSS_i                      7373.769838831559    All      0.000558949965547884      -9.33165436333976e-05     -0.00010383342163657524    -0.0002170982696890855     
Lambda        AB|CNIa02|SDSS_g                      4653.385035750897    All      -0.0009202045853807139    1.4195697762346e-05       -0.0018993312670910287     0.0002196064819386283      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5392.852507291346    All      0.0002185422672302147     -6.982631785080335e-06    -0.0002399077518396081     -8.416686026622846e-05     
MWEBV         All|All|All                           All                  All      -0.6998338259991068       -4.066433585098039        -0.023784023730816208      -1.0976736711237962        
Redshift      All|All|All                           All                  All      3.9461822971999747        0.24993238831996223       -0.7298880872976077        -1.2365617514136107        
