#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7373.769838831559    All      0.9583570906059012        -0.16582326512111223       -0.1764243852235503        -0.37405553632007815      
Zeropoint     AB|CNIa02|SDSS_g                      4653.385035750897    All      -1.7143319776739134       1.0717409975056214         -0.7725794216435156        0.8730389558353008        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5392.852507291346    All      1.7502032907834981        0.09304058439143503        0.9387865615056668         -0.49789867995628234      
Check         All|All|All                           All                  All      0.9942284037154858        0.9989583167759442         -0.010217245361399119      0.0010847395589402842     
Lambda        AB|CNIa02|SDSS_i                      7373.769838831559    All      0.0006587029478277076     -0.00010869449519201947    -5.876261057145448e-05     -0.0002525888992403962    
Lambda        AB|CNIa02|SDSS_g                      4653.385035750897    All      -0.0011277521931407958    0.00017476956801021026     -0.0019230462932755248     0.0003384574654632766     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5392.852507291346    All      0.00022582900578552116    9.84019557790427e-06       -0.00030365129476410055    -8.390522397078134e-05    
MWEBV         All|All|All                           All                  All      -0.7038130117778767       -4.067270699158421         -0.02019409755504853       -1.096489993076738        
Redshift      All|All|All                           All                  All      2.67116788400935          -0.361056174642993         -1.1864739874843822        -1.0406420178950173       
