#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5011.886837032009    All      -2.1590539443421175       1.6472258523799965         -0.7425461603931884       1.2066941279310253        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6001.73944286833     All      3.157813059687639         -0.6443535450694426        0.7462666977578954        -1.2051882954932411       
Check         All|All|All                            All                  All      0.9987591153455215        1.0028723073105539         0.0037205373647070106     0.001505832437784127      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5011.886837032009    All      -0.0005364451232643685    -0.00014423445035035155    -0.0037671563038017674    -4.035496439961733e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6001.73944286833     All      -0.0003119336040238229    7.245995173993959e-05      0.00023061892409860382    0.0001355010906727268     
MWEBV         All|All|All                            All                  All      -0.44718571477292235      -2.82926344029768          -0.028290865589600256     -0.7771835746288382       
Redshift      All|All|All                            All                  All      5.061839257578831         0.44071047532536767        9.345880802183528         -1.0881899388776288       
