#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    5339.515956609318    All      3.404022904965402        0.057881383219360316       0.4793793627209351        -1.0685558791704475       
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4393.946291257011    All      -2.407782260111143       0.9438112122545306         -0.48272443376757695      1.0701824836936533        
Check         All|All|All                         All                  All      0.9962406448542591       1.001692595473891          -0.0033450710466418343    0.0016266045232058435     
Lambda        Linear_AB11_off|Knop|Bessell12_I    5339.515956609318    All      0.0024913105582184967    -0.00012476103172306922    -0.0008712834275256269    -0.0008910219607532825    
Lambda        Linear_AB11_off|Knop|Bessell12_R    4393.946291257011    All      -0.00146045334440781     1.5514247504993588e-06     -0.0022705106782560506    0.0003749005883508894     
MWEBV         All|All|All                         All                  All      -0.14578253861416668     -2.4089797764833776        -0.0028806867104105606    -0.7373263491689046       
Redshift      All|All|All                         All                  All      -1.3064569681913674      -0.24313657475509842       -0.16139900419239514      0.33915593806576905       
