#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    5339.515956609318    All      3.3314426616568493        0.006930088127887757      0.12031878754965586        -1.0775338435292048       
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4393.946291257011    All      -2.334676635095813        0.9950184507282245        -0.12182627410424196       1.0791546860820054        
Check         All|All|All                         All                  All      0.996766026561036         1.0019485388561122        -0.0015074865545861016     0.0016208425528005943     
Lambda        Linear_AB11_off|Knop|Bessell12_I    5339.515956609318    All      0.0022319696910525137     -0.0001962221942093363    -0.001563835027398699      -0.000860728757008297     
Lambda        Linear_AB11_off|Knop|Bessell12_R    4393.946291257011    All      -0.0013928036017002308    5.449209810076159e-05     -0.002197384367932819      0.00037337265191993363    
MWEBV         All|All|All                         All                  All      -0.14402822043614272      -2.4083190670522114       -0.00030587689059391465    -0.7375676715798307       
Redshift      All|All|All                         All                  All      -1.7536985746027678       -0.27955344640773205      -0.9410530442924614        0.43818269092083667       
