#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5188.389582121565     All      -0.25268873246038437       1.5173110327918238        0.3880696228698133        0.593864919734649         
Zeropoint     AB|SDSS|SDSS_i            6291.829206465242     All      1.8004257869827174         -0.7142331968005067       -0.19607642630532496      -0.8278571512009947       
Zeropoint     AB|SDSS|SDSS_g            3970.6018111226012    All      -0.7607564226004753        0.2806759383659596        -0.397701673365658        0.32148118296916606       
Zeropoint     AB|SDSS|SDSS_z            7480.4604480818125    All      0.1719440858374755         -0.05936073992494073      0.1354655946316896        -0.06929838413611555      
Check         All|All|All               All                   All      0.9589247177593333         1.024393034432336         -0.07024288216948005      0.01819056736670488       
Lambda        AB|SDSS|SDSS_r            5188.389582121565     All      -0.00038075124670302316    0.0002761523530262452     -0.002837179349722774     8.736483023363137e-05     
Lambda        AB|SDSS|SDSS_i            6291.829206465242     All      -0.0007242922814277733     8.986949767873728e-05     -0.0012763524884998724    0.00020824152709512315    
Lambda        AB|SDSS|SDSS_g            3970.6018111226012    All      -0.0008192550732068316     0.00035572642366822084    -0.0005206002829205771    0.0003594981296791314     
Lambda        AB|SDSS|SDSS_z            7480.4604480818125    All      -3.7181896481414956e-05    2.3008310124545443e-05    -8.626938385496265e-05    1.5756124110042515e-05    
MWEBV         All|All|All               All                   All      -0.5962180894764231        -3.2564382043064555       0.02014102690526265       -0.8656224085159647       
Redshift      All|All|All               All                   All      12.35999333421716          -6.5956184050447675       19.859312839404673        -5.288236443082569        
