#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5188.389582121565     All      -0.5810130132987466        1.5484350483237819        0.20660707900627953        0.7028512154548497        
Zeropoint     AB|SDSS|SDSS_i            6291.829206465242     All      1.9469858178191672         -0.6699269327819835       -0.15576489885249367       -0.8593656487765284       
Zeropoint     AB|SDSS|SDSS_g            3970.6018111226012    All      -0.5373352348031198        0.1735186016111001        -0.18793573472874386       0.2231617722333492        
Zeropoint     AB|SDSS|SDSS_z            7480.4604480818125    All      0.15376483926110746        -0.0530202999769358       0.1527457605408343         -0.06054038112180747      
Check         All|All|All               All                   All      0.9824024089784081         0.9990064171759627        0.015652205965876298       0.006106957789863046      
Lambda        AB|SDSS|SDSS_r            5188.389582121565     All      -0.0006818339343933363     0.00036490115164153206    -0.002292535351152769      0.00023865073059509413    
Lambda        AB|SDSS|SDSS_i            6291.829206465242     All      -0.0003397930205876668     0.00017717565821646756    -0.002436955264419101      5.9643585530526874e-05    
Lambda        AB|SDSS|SDSS_g            3970.6018111226012    All      -0.000669209366697254      0.0002219270793472521     -0.00027205103217375844    0.00027813206991423494    
Lambda        AB|SDSS|SDSS_z            7480.4604480818125    All      -2.2379849003153408e-05    1.6566107349736187e-05    -0.00011719534145112563    7.456089437812829e-06     
MWEBV         All|All|All               All                   All      -0.5880968587806801        -3.2607600564922734       0.02670726479348539        -0.869382508936445        
Redshift      All|All|All               All                   All      7.4644446174331724         -1.9381760104714374       6.733389482881974          -2.762262628257257        
