#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4770.7419559573655    All      0.7484408759993696         0.439003374927438         0.09051283844732083        -0.09675480202105818      
Zeropoint     AB|SDSS|SDSS_i            5785.358462370447     All      1.2043007725198318         0.20601484876667797       0.5105387623926205         -0.3023915678519104       
Zeropoint     AB|SDSS|SDSS_z            6878.308952071937     All      0.14175256290787147        0.03904043467048979       0.3533954891818514         -0.01768630170015245      
Zeropoint     AB|SDSS|SDSS_g            3650.9819378245493    All      -1.0953418463897846        0.3144804357145148        -0.9456241223326334        0.4170266375715728        
Check         All|All|All               All                   All      0.9991523650372884         0.9985390940791206        0.008822967689159356       0.00019396599845178386    
Lambda        AB|SDSS|SDSS_r            4770.7419559573655    All      -0.00010516762794109447    1.4993427424097592e-05    -0.00020185934192390302    3.0132353590103373e-05    
Lambda        AB|SDSS|SDSS_i            5785.358462370447     All      -0.00017943166580542118    -7.214017304956801e-05    -0.0005120082626127835     1.2099791784332839e-05    
Lambda        AB|SDSS|SDSS_z            6878.308952071937     All      -6.934281248769456e-05     -1.706810029907992e-05    -0.00018731769629498903    8.668465080195812e-06     
Lambda        AB|SDSS|SDSS_g            3650.9819378245493    All      -0.002449342046172117      0.00039403917091177724    -0.00473058411837468       0.0007150785644516493     
MWEBV         All|All|All               All                   All      -0.5032867671358994        -2.855258085173773        0.3670555372791373         -0.7497344330392938       
Redshift      All|All|All               All                   All      5.76407559370731           -0.8159687882983491       2.4069332015239198         -2.035926558109734        
