#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4770.7419559573655    All      0.7796039106160616        0.4428796457633055         0.19572507044211077        -0.10094786000071236      
Zeropoint     AB|SDSS|SDSS_i            5785.358462370447     All      1.170167251265409         0.15565670551875854        -0.13241952429035955       -0.3363687363434625       
Zeropoint     AB|SDSS|SDSS_z            6878.308952071937     All      0.14947637284755433       0.028447472918990968       0.2298748327171144         -0.02916483643202563      
Zeropoint     AB|SDSS|SDSS_g            3650.9819378245493    All      -1.1001606728760145       0.37218615039051883        -0.28780892757674065       0.4667482085304625        
Check         All|All|All               All                   All      0.9990868618530105        0.9991699745915739         0.005371451292124962       0.0002667757542620386     
Lambda        AB|SDSS|SDSS_r            4770.7419559573655    All      -7.295917812953615e-05    -3.523003028409726e-05     -0.000459497560619225      -8.215641029118874e-06    
Lambda        AB|SDSS|SDSS_i            5785.358462370447     All      -0.0002504116209831739    -3.5725832569430554e-05    0.00014188597605686756     7.626194369170497e-05     
Lambda        AB|SDSS|SDSS_z            6878.308952071937     All      -6.827001967046126e-05    -1.3644782364238568e-05    -0.00010317914775523285    1.3188825427933483e-05    
Lambda        AB|SDSS|SDSS_g            3650.9819378245493    All      -0.0021138356641338487    0.0004450277252637269      -0.0028832412220498598     0.0007048401765396564     
MWEBV         All|All|All               All                   All      -0.5485023621537057       -2.859956195604596         0.20939941119723776        -0.7435720241423026       
Redshift      All|All|All               All                   All      5.492393695452212         -0.6513701040173459        -0.9430876990085022        -2.043311665874177        
