#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3323.653453958855     All      -1.1865722212753393        -0.0005330724247798457     0.9789227688497284        0.43001679745373694        
Zeropoint     AB|MEGACAMPSF|z           4681.124235543782     All      2.078152158762552          0.5046479788589409         2.9276012179839555        -0.381896681771925         
Zeropoint     AB|MEGACAMPSF|i           4064.3558473780877    All      0.11035677069467961        0.49340008386060674        -3.858022042609887        -0.04739599565851056       
Check         All|All|All               All                   All      1.0019367081818926         0.9975149902947678         0.04850194422379728       0.0007241200233013972      
Lambda        AB|MEGACAMPSF|r           3323.653453958855     All      -0.002823442750949229      -4.4063176629995286e-05    0.0015116251576361042     0.0009727922543698305      
Lambda        AB|MEGACAMPSF|z           4681.124235543782     All      -0.00021863603270310102    -6.811005142611538e-05     -0.0008593085345867594    1.068427102234514e-05      
Lambda        AB|MEGACAMPSF|i           4064.3558473780877    All      0.0002264795052635607      0.0002990453164419532      -0.0017741703515812282    -5.5536002276298295e-05    
MWEBV         All|All|All               All                   All      -0.33462891610395595       -1.6577901756964053        0.4400844666546187        -0.4113582044497611        
Redshift      All|All|All               All                   All      2.0086929293422964         -0.5060940778015777        -0.4700537852103468       -0.8401252038168376        
