#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4599.110972394687    All      -0.8384967444355256       0.9849188344716708         0.3078577814726619         0.6076847214882577         
Zeropoint     AB|PS|PS_r                5840.558720076465    All      0.3286115018108812        0.3299800208461434         -0.9905431802249919        -0.043757621060443556      
Zeropoint     AB|PS|PS_z                8129.960736835459    All      0.27292463583374194       -0.0838144945025654        0.06390930574078821        -0.11334969232893138       
Zeropoint     AB|PS|PS_i                7074.181538952911    All      1.2335395581215276        -0.2317310570502329        0.6193633978802564         -0.4496475015186207        
Check         All|All|All               All                  All      0.9965789513306255        0.999353303765016          0.000587304868714611       0.000929906580262041       
Lambda        AB|PS|PS_g                4599.110972394687    All      -5.815771287479659e-05    9.762781958082376e-06      -0.00027075511110665824    1.0041382609533155e-05     
Lambda        AB|PS|PS_r                5840.558720076465    All      -6.987693999057363e-05    -5.481750053354043e-05     -0.00018859767307650426    -3.510893079624721e-06     
Lambda        AB|PS|PS_z                8129.960736835459    All      5.332017067220334e-05     -2.5547141648724698e-06    0.00012454308644252863     -1.2642502278322274e-05    
Lambda        AB|PS|PS_i                7074.181538952911    All      -0.000917340229041037     5.972628463454472e-05      -0.0014290310863626777     0.0002544916139556661      
MWEBV         All|All|All               All                  All      -0.631875232340573        -3.864628089430777         0.045698693665467215       -1.0509746371524546        
Redshift      All|All|All               All                  All      8.182871756413235         0.23148250165334616        8.938295220369314          -2.1911540096316915        
