#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4599.110972394687    All      -0.9100499408606229       1.0150001338812054         0.044544208940111574       0.6290399450705614         
Zeropoint     AB|PS|PS_r                5840.558720076465    All      0.24661380870026953       0.2635573289967219         -1.2637028422193497        -0.05087419188521125       
Zeropoint     AB|PS|PS_z                8129.960736835459    All      0.26448900834848943       -0.07268548489474114       0.1213166762321416         -0.1044150190877613        
Zeropoint     AB|PS|PS_i                7074.181538952911    All      1.3919408768203665        -0.20477768394702167       1.0952161505373814         -0.47122929906963096       
Check         All|All|All               All                  All      0.9929937530085028        1.0010942940361645         -0.0026258065097151118     0.0025214350279578746      
Lambda        AB|PS|PS_g                4599.110972394687    All      -2.494655869482661e-05    -6.488027572972919e-05     -0.00039360276612383717    -3.057240911852387e-05     
Lambda        AB|PS|PS_r                5840.558720076465    All      -5.90308268052489e-07     -0.00010165102483086102    6.977133646995935e-05      -2.9805225884828698e-05    
Lambda        AB|PS|PS_z                8129.960736835459    All      8.361969940102826e-06     8.675212767120368e-06      9.830573148869485e-05      4.4889667885891656e-06     
Lambda        AB|PS|PS_i                7074.181538952911    All      -0.001037759430239056     0.00011294652592565876     -0.0013166149824090144     0.00031606830735331594     
MWEBV         All|All|All               All                  All      -0.641744992611541        -3.8598070094185033        0.035850912266965906       -1.0466288084125044        
Redshift      All|All|All               All                  All      8.495602547668115         -0.0398786761472536        4.899309992638923          -2.561653340333497         
