#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4506.390802018085    All      3.7733442753884097        0.8599644710367116         0.45134574756288837       -0.928842161868268        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3763.162489500305    All      -2.7834267740744636       0.14123368487375387        -0.44892921499167227      0.9326244809427878        
Check         All|All|All                            All                  All      0.989917501313946         1.0011981559104655         0.002416532571216101      0.0037823190745198687     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4506.390802018085    All      -0.0010373928106965843    -0.00023685194378321735    -0.002034518323312115     0.00016997128880117505    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3763.162489500305    All      -0.0022942154097788927    0.00010903565665985516     -0.0017023575836447378    0.0007068495366382471     
MWEBV         All|All|All                            All                  All      -0.2563179325963598       -1.8355339555087724        0.01890983646187176       -0.513558754174963        
Redshift      All|All|All                            All                  All      12.01328065854143         1.796700504460702          5.394364234837169         -3.087150571305549        
