#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7366.5519748546285    All      0.5553405833188523         -0.1341380276565829        0.19344736312599614       -0.2159531994225322        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4306.432543538566     All      -1.0293692917752781        0.7403525267751121         0.027131555916294008      0.5776673751501377         
Zeropoint     AB|CNIa02|SDSS_r                      6074.631123683211     All      1.1687266677369221         -0.10246866480141392       0.016628919319258077      -0.4133280685966116        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5387.573677507387     All      0.3022814787435912         0.4945591274454486         -0.23595137484117268      0.05210172975524977        
Check         All|All|All                           All                   All      0.9969794380240874         0.9983049617625639         0.0012564635203755614     0.00048783688624363247     
Lambda        AB|CNIa02|SDSS_i                      7366.5519748546285    All      -0.00010192172927468669    -4.1631930085976676e-05    -0.0007566820997615402    -1.4128875725935189e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4306.432543538566     All      -0.00043810191280404116    0.0002072452784706435      -0.0005177627138473477    0.00018710543956925016     
Lambda        AB|CNIa02|SDSS_r                      6074.631123683211     All      -8.669613077780811e-05     -2.8861578061564264e-05    -0.0004841430620606552    -2.766464751161538e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5387.573677507387     All      1.967812936559253e-05      4.2401577228021847e-05     -0.0007116610273035147    -2.43563885596587e-05      
MWEBV         All|All|All                           All                   All      -0.868829603049897         -4.026793631007397         0.011309972890983283      -1.0281480656910214        
Redshift      All|All|All                           All                   All      5.530627435231824          -0.6696811937462854        4.485489515773764         -1.8194777085723466        
