#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7366.5519748546285    All      0.5306036522684839         -0.11583678546696063       0.22930381786078202       -0.20033414159235097       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4306.432543538566     All      -1.0606271342814653        0.7534353929129267         0.05840936018599585       0.5935063874722715         
Zeropoint     AB|CNIa02|SDSS_r                      6074.631123683211     All      1.143971726139733          -0.0904190737866628        -0.003087414120006571     -0.40221947089929544       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5387.573677507387     All      0.38352821226373096        0.45090638597429233        -0.28273691491786934      0.009330037904499433       
Check         All|All|All                           All                   All      0.997476456390483          0.9980859196335956         0.0018888490089019605     0.00028281288512449487     
Lambda        AB|CNIa02|SDSS_i                      7366.5519748546285    All      -0.00013940417851336098    -2.658748727574986e-05     -0.000829453193240388     -2.6657857860653554e-07    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4306.432543538566     All      -0.00033159719938490994    0.00012211566044103948     -0.0005399687032949022    0.0001236928819135335      
Lambda        AB|CNIa02|SDSS_r                      6074.631123683211     All      -0.00021439552044527838    -3.0852477570498727e-05    -0.0007552064748729304    2.608461101537074e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5387.573677507387     All      1.2049005144642544e-05     2.3549534312029593e-06     -0.0006601223172927368    -3.2615898756529166e-05    
MWEBV         All|All|All                           All                   All      -0.8767955850632454        -4.0212863924716125        0.017713964004728577      -1.0234736137914395        
Redshift      All|All|All                           All                   All      5.836808823080673          -0.12866003433096296       5.252019592295431         -1.7087759522042876        
