#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5122.8720100012915    All      3.7607118745184334       0.13445445805420064       0.6646591837624036        -1.1515306541657275       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4277.968918699769     All      -2.764445041235555       0.8665593039422603        -0.6645546343598043       1.1530815505767174        
Check         All|All|All                            All                   All      0.9962668332828785       1.001013761996461         0.00010454940259929657    0.0015508964109898216     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5122.8720100012915    All      0.00247540408268915      0.00014856265633252428    -0.0026592660007829358    -0.0008765996314214619    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4277.968918699769     All      -0.001430170316413837    0.00029283700621105907    -0.002678388144202823     0.00044171600875215285    
MWEBV         All|All|All                            All                   All      -0.053761846691616544    -2.2674355404157964       0.007950894941779175      -0.7207115378231779       
Redshift      All|All|All                            All                   All      7.24505592886442         -1.536429098262282        6.549156943358924         -2.568159780419065        
