#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5122.8720100012915    All      3.777264556120858        0.34705206919358744       0.898925898648284         -1.0772181233916793       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4277.968918699769     All      -2.783457431918259       0.6521844815305045        -0.9058227566940635       1.0786788911340965        
Check         All|All|All                            All                   All      0.9938071242025992       0.9992365507240919        -0.0068968580457795525    0.0014607677424172127     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5122.8720100012915    All      0.002594197863377911     -3.152292398691674e-05    -0.0011890160697342826    -0.0009083439703317344    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4277.968918699769     All      -0.001547523760256201    0.00012244964204527736    -0.0011507792108275806    0.00049261128678114       
MWEBV         All|All|All                            All                   All      -0.05228404542052312     -2.266202960262298        0.006119774782065157      -0.7208731288914111       
Redshift      All|All|All                            All                   All      5.176898298923467        -1.0522534887671853       -14.516889273637656       -2.676861764879157        
