#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R           6251.891597679581     All      -0.017062390041085368      -0.012197379648881679      -0.2534686665579322        -0.009726448510173624      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V           5284.630933608966     All      -0.008061728245587645      -0.004870469172124636      -0.11426027301429942       -0.0040594131366436526     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6308.67749860053      All      0.1627668928294287         -0.04916955565844594       -0.715143420563974         -0.10094824009939385       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B           4339.584246450355     All      -0.0028233263999893265     -0.0014403706687926565     -0.03413292834915649       -0.0010727216458103483     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I           8074.047919583606     All      -0.0018287514104314492     -0.003660208367228801      -0.06030787897616796       -0.0032878294386098905     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7800.600790457044     All      0.11308349089148405        -0.017563419632515842      -0.003054106998906514      -0.04269228768171013       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3528.94669202514      All      -0.33999823343020097       0.0977761964545798         -0.4883688957781851        0.12080387334305193        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6106.24834113528      All      0.7272174552546086         -0.0657159438908983        -0.47731919415376356       -0.2795850582229878        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4717.241589551252     All      -0.1388259627313202        0.49055453598065846        1.3853007062722023         0.26682954249878515        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7465.823600017517     All      0.29902379613450064        -0.028250855119138496      0.24363329773575138        -0.09573188581884079       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4314.104914935974     All      -0.060724599189095424      0.03132257083989787        -0.06047124061680509       0.027284237806023126       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4318.211543912926     All      -0.30488807584067923       0.3543399305548367         1.1567255242413532         0.26635159713895157        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5275.6595617559415    All      0.518024199968715          0.17276775768563235        -0.4308956822217602        -0.13169027711643772       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5317.444652971855     All      0.015116271045911019       0.0001869100834994697      -0.34054642749730135       -0.020060007012880077      
Check         All|All|All                              All                   All      0.9610190388362584         0.9640796994410783         -0.19230918647894502       -0.007584917896676091      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R           6251.891597679581     All      2.819833944686987e-06      -1.2568808154904536e-06    -1.2741869504028636e-06    -1.3847812287891314e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V           5284.630933608966     All      4.69207192672904e-06       -5.454450894474129e-06     -4.236526105610139e-05     -5.195623317879172e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6308.67749860053      All      6.898915903232085e-05      -5.335344172121832e-06     7.562563852778477e-05      -2.083511098571211e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B           4339.584246450355     All      2.8271128083608533e-06     -8.46129126393314e-06      -8.671810723818779e-05     -7.546835427988835e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I           8074.047919583606     All      -1.5667349524297035e-07    -2.344992171659024e-06     -3.1554475904353255e-05    -2.1209387216001466e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7800.600790457044     All      -3.3350721834223474e-05    -6.84557127595291e-06      -0.00017402193980820235    8.677996106015754e-07      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3528.94669202514      All      -0.00014874297585870232    0.0001327345212867362      0.000788899282921781       0.00012689143286831353     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6106.24834113528      All      0.0003927966253946645      -9.840347286965357e-06     0.0003777545213478538      -0.00011429465904135957    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4717.241589551252     All      3.1395966082820275e-05     0.000275414183411679       0.00043882089610034955     9.906732250638652e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7465.823600017517     All      -5.480395528359748e-05     -1.25167195853122e-05      -0.0003223785941132472     -6.119321482832543e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4314.104914935974     All      -3.6385823945513907e-05    1.3343575788813004e-05     -0.00011114241589234586    1.123872597950343e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4318.211543912926     All      -0.00023405859251305938    0.0002935744622462881      0.0006213545445637742      0.00019959564409269856     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5275.6595617559415    All      0.00012348430904749144     0.00013455766007108884     -0.00037626921594454527    -1.3184212234789999e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5317.444652971855     All      1.8192956241580552e-05     -1.0228810817629357e-05    -0.00039401772365877465    -2.6841105928489263e-05    
MWEBV         All|All|All                              All                   All      -0.9683136347018753        -3.991854176578702         -0.29274640029113286       -0.9979305533279192        
Redshift      All|All|All                              All                   All      -0.319619285004654         -2.686039661892714         -18.040354430531867        -1.5758791315540477        
