#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R           6251.891597679581     All      0.0115970230855829         -0.021578083394313552     -0.42655187897800373       -0.029841274885955366     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V           5284.630933608966     All      -0.016828908992173736      0.0013073284029552212     -0.221341522610135         -0.003969886385165976     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6308.67749860053      All      0.39099650825653587        -0.04578322381307842      -0.486163891203974         -0.16396878995588232      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B           4339.584246450355     All      -0.02418569045035137       0.0064852568333328975     -0.06801439632056054       0.006955366445526864      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I           8074.047919583606     All      0.01774873624746673        -0.009443017927512898     -0.09329954361957915       -0.01302077903936872      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7800.600790457044     All      0.1419619023399118         -0.01632352386033986      0.09629327032832266        -0.04726164435350862      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3528.94669202514      All      -0.22015317607013574       0.08460247247228381       -0.13725986159401543       0.09314366368209755       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6106.24834113528      All      0.7024271696344838         -0.0056609452998124254    0.4706266897533286         -0.20964568678765155      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4717.241589551252     All      -0.2562233274714391        0.4111289194082879        0.5052521248744355         0.23992566383958458       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7465.823600017517     All      0.2484102230255915         -0.01809981204639044      0.2870229262362951         -0.07400257139335814      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4314.104914935974     All      -0.12763884796519423       0.07514181307524126       -0.09574260737037824       0.06177977974941162       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4318.211543912926     All      -0.3678261907059941        0.2695715211893379        0.036260629604574865       0.20923954988637095       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5275.6595617559415    All      0.35441759669553413        0.18808510842225346       0.36885657434016533        -0.037719588791100336     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5317.444652971855     All      0.13976944060513838        0.07767575410655425       -0.23600076632459202       -0.030757586802948936     
Check         All|All|All                              All                   All      0.9944724582349568         0.9971095675687991        -6.225288411634833e-05     0.0008562152080516076     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R           6251.891597679581     All      -1.597172910145588e-06     2.8366668498713722e-06    5.501305001053637e-05      3.899227235003402e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V           5284.630933608966     All      -1.9489613240470204e-05    1.3462606384935638e-06    -0.00026384511223242384    -4.987265959895211e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6308.67749860053      All      -0.00012792168914811062    -4.380358116380597e-06    -0.00021208981756291694    3.077688144156691e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B           4339.584246450355     All      -2.297443972390716e-05     6.2005943571134975e-06    -6.487626550552004e-05     6.608138666698505e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I           8074.047919583606     All      1.2010572387426894e-06     -6.189300314567676e-07    -6.05296179373623e-06      -8.629456143131339e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7800.600790457044     All      -1.9321524344241068e-05    2.7157279130014065e-06    -6.414462415875137e-06     6.892010067188137e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3528.94669202514      All      -0.00022873970692302497    7.613034869418083e-05     -0.0002582554472504785     8.778145255501311e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6106.24834113528      All      -0.00013712183523046655    -7.396721453500802e-06    -0.00023664872353142732    3.169519174370039e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4717.241589551252     All      1.304170176367965e-06      -5.148627303657746e-05    -0.00021341853055784903    -2.671947293139112e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7465.823600017517     All      -7.130088672778838e-05     2.9997486053964367e-06    -0.00011265276128552277    1.9174986005559674e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4314.104914935974     All      -5.717904138383957e-06     3.455213470834563e-06     -3.866101770111364e-06     2.8154598262909653e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4318.211543912926     All      -8.569789649189891e-05     4.623872657732425e-05     -9.019570607868962e-05     3.895107861121912e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5275.6595617559415    All      1.6903485212240003e-05     2.8250647146517278e-05    -0.0002844686527094738     -8.998385500625616e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5317.444652971855     All      2.8200452200989793e-05     1.7299635748298408e-05    -5.232852147664255e-05     -5.885936122147041e-06    
MWEBV         All|All|All                              All                   All      -0.9948258574940363        -3.9569619927217303       -0.06285870472877335       -0.96767028592037         
Redshift      All|All|All                              All                   All      3.5510444926496287         0.5702944451298819        -1.6090803826314783        -1.042734221478912        
