#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4356.42226984757     All      -1.1542107833393587       0.758834285572263         0.0222738622121188         0.6241356964282352         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5268.689900256159    All      0.4100812939270481        0.4891062941769775        -0.032761739493980535      0.02427903646229773        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6228.203660359504    All      1.3278216337383935        -0.1514456977353973       -0.14052456313728978       -0.48811700215752424       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7716.885855788707    All      0.4150477942748062        -0.0985964950901419       0.1527192706243241         -0.16049568380762727       
Check         All|All|All                       All                  All      0.9987399386008888        0.9978983869237013        0.0017068302051725937      -0.00019795307461853429    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4356.42226984757     All      -0.0004945647666402985    0.00020358819551399615    -0.0005229921852316906     0.0002040726491132095      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5268.689900256159    All      1.597371305930456e-05     0.00010829596546577381    -0.001410623618392012      -3.287725840822033e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6228.203660359504    All      -0.0003549070624859079    3.3781645890284216e-05    -0.00045623655072352787    0.00010624895795669993     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7716.885855788707    All      -7.219837107716985e-05    1.711713522814427e-05     -3.866485015979715e-05     2.7367564115121143e-05     
MWEBV         All|All|All                       All                  All      -0.8074034081417851       -4.010335866687775        0.050107398615206744       -1.041064412031175         
Redshift      All|All|All                       All                  All      4.9277461317678215        -0.40348899078832545      5.4932336654662794         -1.4914208828623021        
