#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6512.766062186239    All      0.4879232845621439         -0.09527064178946887       0.38552082076566624        -0.17276142472531483       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5327.386387424354    All      0.0015082972428121025      0.01878117855689254        -0.2795361551038595        -0.006848069034250264      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6302.472700848663    All      0.1305842852285569         0.011706719047133163       -0.21467007016748918       -0.048302073548654643      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4374.693773711208    All      -0.09150618109380088       0.03697352303788648        -0.27663317047871133       0.029505198624138078       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5357.812449981371    All      0.1498639615030807         0.3156170475826059         -0.17014965347618605       0.04639823568511           
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6359.718029683254    All      0.6359103644109488         -0.12074443916745281       0.07835710394459544        -0.2429706450612352        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5360.465587098046    All      0.20655169767650147        0.28359235917108094        -0.4663442436393703        0.0042838762592787415      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4349.008300955274    All      -0.5843209272562804        0.3595774164204535         0.23260757882677383        0.317838951783714          
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8139.371229246261    All      0.036381661409922036       -0.00025826388210248297    0.010482383147241862       -0.011467048469333026      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7813.287431389862    All      0.2038987005414148         -0.0795503956139143        0.28716444091345866        -0.07951386571667272       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4363.835672745181    All      -0.3727157143773661        0.323364417430394          0.2736614840274466         0.23894845443632584        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7863.711768502374    All      0.1921767834542195         -0.05776175201575029       0.1356010481169359         -0.07536195175177511       
Check         All|All|All                                      All                  All      0.9962562133021527         0.9960271687777578         -0.003938433123497953      -0.00025036151866912604    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6512.766062186239    All      -0.00010300916469091188    4.0499041377631166e-05     -0.0002531486035466181     3.5448484489464617e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5327.386387424354    All      2.6706709426031353e-06     1.8791775842022612e-05     -0.00027344330426513306    -6.951344555343243e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6302.472700848663    All      3.7042221118772812e-06     3.2197955500304117e-07     -5.867896269047974e-06     -1.3635649334637826e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4374.693773711208    All      -0.00010542309533564748    4.252167303179773e-05      -0.0003210772486425733     3.3862275343131164e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5357.812449981371    All      4.662052367038102e-05      0.00010833486296077486     -0.00044858437450787027    8.413028756208439e-08      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6359.718029683254    All      -0.00015633315811447337    6.678249568048438e-05      -0.0006314180702303918     4.4498820251919894e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5360.465587098046    All      -8.31324805636485e-06      0.00012246752493405262     -0.0015850930272857766     -2.813582141619998e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4349.008300955274    All      -0.0004221474377571211     0.00010565000870578466     -0.0006106502842823129     0.0001446704747609866      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8139.371229246261    All      2.0731666942445867e-06     -3.8022861321352456e-08    5.304902852733486e-07      -6.640105493431566e-07     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7813.287431389862    All      1.1741827211441921e-05     -7.186980116921119e-06     2.7932836298691762e-05     -4.919221092977938e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4363.835672745181    All      -0.0002245120213136631     0.00012388141574546177     -0.00023662811879841158    0.00010292357810545358     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7863.711768502374    All      2.380730975589314e-05      -1.253231861456136e-05     9.024633641345063e-05      -7.809732990818164e-06     
MWEBV         All|All|All                                      All                  All      -0.819927309413766         -4.073808457331829         0.10612966290223298        -1.0551600599675757        
Redshift      All|All|All                                      All                  All      4.553435965552298          -1.0364889785479114        8.424917354581353          -1.4448570900724966        
