#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6512.766062186239    All      0.4810622694227757         -0.22201367907577207       0.6226009017628265         -0.20123114819447577       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5327.386387424354    All      -0.0007393882741151894     -0.005571692540762285      -0.07505719992328963       -0.0049234985850611646     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6302.472700848663    All      0.02398617859756335        -0.007492470805736673      -0.005972376757634734      -0.010520151472018235      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4374.693773711208    All      -0.03137027334544718       0.02949366604152459        -0.2198316128861677        0.010015312189435438       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5357.812449981371    All      0.1745053692582558         0.4000569683430655         -0.26586634439471624       0.061605182378740575       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6359.718029683254    All      0.7175082284472561         -0.08088353260502501       0.053519484426400865       -0.2576741340996301        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5360.465587098046    All      0.18376349400184744        0.4189953602566021         -0.9790117569081325        0.03293395946525751        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4349.008300955274    All      -0.6753544659770889        0.37969777732174137        0.01849420964261661        0.3444905374657553         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8139.371229246261    All      0.025245937077900304       -0.00305612284421386       0.016941157495420356       -0.008462905975648721      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7813.287431389862    All      0.23385025695470776        -0.0996371471238433        0.23786478935665656        -0.09801300584256975       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4363.835672745181    All      -0.3877271904878955        0.24037032652683976        0.4851562119534414         0.22624231858382957        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7863.711768502374    All      0.25720337848613406        -0.03686249381953388       0.0979822711255185         -0.09141443034575633       
Check         All|All|All                                      All                  All      1.0019337941618938         1.0130969596748862         -0.013180265107060052      0.0030480355678583204      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6512.766062186239    All      -4.58617366767122e-05      3.421619929035447e-05      -9.85582087072549e-05      2.168581803718982e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5327.386387424354    All      4.561511134347269e-06      -1.4447244115426345e-05    -0.00011519161264889149    -1.133224957090285e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6302.472700848663    All      1.875040031613913e-05      -4.686470342493769e-06     1.3622350500539902e-05     -7.026256886012681e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4374.693773711208    All      -4.05786202304239e-05      4.576235223858891e-05      -0.00029096162607544676    1.5139814233445149e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5357.812449981371    All      8.422356511918454e-05      8.615696467272716e-05      -0.0003351243572185927     -1.4325289050620388e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6359.718029683254    All      -3.7151643029368844e-05    -9.352210941369362e-06     -4.6549063341326214e-05    6.977918700403188e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5360.465587098046    All      5.171577960707932e-05      0.00010942979426196074     -0.001383995680069278      -4.2962017431468954e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4349.008300955274    All      -0.0005415516516389125     0.0001328047766653198      -0.0007341895845711754     0.00018689656521758347     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8139.371229246261    All      -9.086602731733853e-08     2.107702550992777e-07      -2.0620185011634414e-06    6.234445523525965e-09      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7813.287431389862    All      -8.199132286437825e-06     -2.7681467492425266e-06    2.0608686433095915e-05     2.688721686817407e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4363.835672745181    All      -0.00026870119489024786    0.00013104211554470425     -0.00014996962945028946    0.0001235170915961767      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7863.711768502374    All      -5.966852050835344e-06     1.5169049439542341e-05     -1.5245446542070407e-05    6.204324206551805e-06      
MWEBV         All|All|All                                      All                  All      -0.8142728941433179        -4.079946768755605         0.11171311508180182        -1.0587521751941629        
Redshift      All|All|All                                      All                  All      4.347576689062053          -1.404161415393368         7.758966945046097          -1.5272832680729986        
