#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3991.713370825572     All      -1.0114612975993205        0.5372850924400652        -0.6282838734248355       0.47644022781113465        
Zeropoint     AB|SDSS|SDSS_r            5215.97607949292      All      0.8259335629111051         0.5023555843511218        0.5660687212264464        -0.08013894584754402       
Zeropoint     AB|SDSS|SDSS_u            3035.6443276538994    All      -0.015000301089146496      0.017776988222450996      0.13285703972239649       0.016605440962073555       
Zeropoint     AB|SDSS|SDSS_i            6325.282656156696     All      1.064278393485698          -0.04116280451977872      -0.3157026885522835       -0.3741669271456481        
Zeropoint     AB|SDSS|SDSS_z            7520.233811130458     All      0.13399002904880997        -0.01743636274014193      0.26609188575629256       -0.037450098840501565      
Check         All|All|All               All                   All      0.997740386757146          0.9988184977537173        0.021031084728016403      0.0012896969395145078      
Lambda        AB|SDSS|SDSS_g            3991.713370825572     All      -0.0010115599696730467     0.0004188647219325046     -0.0009957567526003707    0.000421500331107264       
Lambda        AB|SDSS|SDSS_r            5215.97607949292      All      0.00027304836486500715     0.0001822866339618564     -0.001682135559905924     -0.00010463006599682813    
Lambda        AB|SDSS|SDSS_u            3035.6443276538994    All      -1.4228650031876897e-05    1.9731258617742064e-05    0.00019945301875682022    1.9962531667525516e-05     
Lambda        AB|SDSS|SDSS_i            6325.282656156696     All      -0.00036054949235328314    1.04052530240576e-05      -0.0007255749777479652    8.845308580647216e-05      
Lambda        AB|SDSS|SDSS_z            7520.233811130458     All      -1.5636144620144667e-05    3.1826807033630472e-06    -5.721009568558114e-05    3.576886714847915e-06      
MWEBV         All|All|All               All                   All      -0.5972692645772675        -3.2631219603398876       0.3367050318136343        -0.8533303278189421        
Redshift      All|All|All               All                   All      6.777852022874695          -1.1462262320579342       3.0805743429441685        -2.443661097703348         
