#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3991.713370825572     All      -0.9594027306052532        0.5696632566586146         -0.7639415899518887        0.46397589232588243       
Zeropoint     AB|SDSS|SDSS_r            5215.97607949292      All      0.7171297039517611         0.5155378242417186         0.020402441612427102       -0.06475464013327037      
Zeropoint     AB|SDSS|SDSS_u            3035.6443276538994    All      0.0042221535700065         0.004176170140723912       0.15759763553380157        0.007017880338387045      
Zeropoint     AB|SDSS|SDSS_i            6325.282656156696     All      1.0329733255800033         -0.05661241893193392       0.04068556514241761        -0.3530983133835264       
Zeropoint     AB|SDSS|SDSS_z            7520.233811130458     All      0.20461019762791927        -0.03489864397501208       0.577792372844424          -0.05223168942125253      
Check         All|All|All               All                   All      0.9995326501244369         0.9978661881341111         0.032536425181181605       0.0009091297262201758     
Lambda        AB|SDSS|SDSS_g            3991.713370825572     All      -0.0009863412048718074     0.00039928795679232865     -0.0014194799525460043     0.0003880001329528774     
Lambda        AB|SDSS|SDSS_r            5215.97607949292      All      4.7876669208214424e-05     0.00020461611451202263     -0.0023220254847316534     -5.256613879623073e-05    
Lambda        AB|SDSS|SDSS_u            3035.6443276538994    All      4.606143227161715e-06      1.6132633648340413e-05     0.0003796125057255708      2.0694919773805176e-05    
Lambda        AB|SDSS|SDSS_i            6325.282656156696     All      -0.00034866030615495966    -2.0930440751460846e-05    -0.0006227128995822774     7.896358246277746e-05     
Lambda        AB|SDSS|SDSS_z            7520.233811130458     All      -2.3444224394689534e-05    6.551248703957945e-06      -0.00010198048561555803    5.219591716389586e-06     
MWEBV         All|All|All               All                   All      -0.6027674516055694        -3.249088344905715         0.5939362420877836         -0.8354891296853808       
Redshift      All|All|All               All                   All      6.794492346250715          -0.7138021583436682        2.9497841781517873         -2.314063215696283        
