#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8518.638720930925    All      0.38926489129825026        -0.1109353176186545        0.06535235020755682        -0.16001528890503894       
Zeropoint     AB|PS|PS_g                4818.985734308668    All      -1.0922299836324272        1.2586945795765914         0.0443910726540148         0.7677544430497129         
Zeropoint     AB|PS|PS_i                7412.384724514154    All      0.45824484707237373        -0.10914757093205552       0.134736653943871          -0.17880569915769348       
Zeropoint     AB|PS|PS_r                6119.784741307429    All      1.2442061268156461         -0.03994172995955836       -0.24355154052091918       -0.4291577908229871        
Check         All|All|All               All                  All      0.9994858815538431         0.998669961066323          0.0009285362845234402      -0.00022433583600667273    
Lambda        AB|PS|PS_z                8518.638720930925    All      0.0004430824856993071      -0.00011725036961101046    0.00015957297347512313     -0.0001753978364639172     
Lambda        AB|PS|PS_g                4818.985734308668    All      -0.00035771988101413577    0.0001759068858087149      -0.0006975408315977556     0.00014269175012832514     
Lambda        AB|PS|PS_i                7412.384724514154    All      -7.325795924628492e-05     -2.0315980348598956e-05    -0.00041958060968901533    -1.4790112800355504e-06    
Lambda        AB|PS|PS_r                6119.784741307429    All      -0.0001938508187246989     -3.934201229558329e-05     -0.0008828356604294851     1.0931700635269109e-05     
MWEBV         All|All|All               All                  All      -0.6899831991082039        -4.101252305461145         0.04644510795168803        -1.1090899435060455        
Redshift      All|All|All               All                  All      4.766052945672996          1.4085695178854607         6.071783320201542          -0.8226870074657732        
