#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4568.448289722593    All      -2.4497289615731717        1.1335619828052756        -0.8451497423048515        1.1294805959878444        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5470.721344013725    All      3.4459446049196147         -0.13124760584535267      0.8380924210972918         -1.1278089736399475       
Check         All|All|All                            All                  All      0.9962156433464436         1.002314376959923         -0.0070573212075597525     0.0016716223478969727     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4568.448289722593    All      -0.00043872113705367103    -6.946316156305705e-05    -0.00277301369531652       -3.46739438688902e-06     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5470.721344013725    All      0.0009316801066634523      -7.120547898363399e-05    -0.00013762181952160223    -0.0003328142589320996    
MWEBV         All|All|All                            All                  All      -0.19476967726895777       -2.5066931031568984       -0.013967950416882147      -0.7536928453078351       
Redshift      All|All|All                            All                  All      -4.876458210904157         0.8156868948807627        -1.6910095400050729        1.7786569377212458        
