#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4510.965248810639    All      0.6959918953379036        0.549785655350199          -0.17774160375771536      -0.055555973844466366     
Zeropoint     AB|SDSS|SDSS_i            5470.333800610798    All      0.9807403088188944        0.23718455829673246        0.11639280900369309       -0.23700649370965998      
Zeropoint     AB|SDSS|SDSS_g            3452.178465656895    All      -0.797991843984675        0.18956099275246885        -0.02379684693653017      0.3206165044647685        
Zeropoint     AB|SDSS|SDSS_z            6503.770889271069    All      0.1191696813354083        0.022704806702655844       0.09804564085454937       -0.027046456623999737     
Check         All|All|All               All                  All      0.9979100415075315        0.9992360131020561         0.012899999163996922      0.00100758028664244       
Lambda        AB|SDSS|SDSS_r            4510.965248810639    All      -0.0005632353125909217    -0.00025121805798518663    -0.002292733632392187     -6.79886981105713e-07     
Lambda        AB|SDSS|SDSS_i            5470.333800610798    All      0.00011128273411239773    4.943434895493755e-06      -4.253931177315339e-05    -3.653654232241889e-05    
Lambda        AB|SDSS|SDSS_g            3452.178465656895    All      -0.0013742734075485054    0.00013476356192803016     -0.002794195789120318     0.0003668508620088117     
Lambda        AB|SDSS|SDSS_z            6503.770889271069    All      -3.02533223241059e-05     -7.088284318570235e-06     -6.074968378239858e-05    4.834635611513701e-06     
MWEBV         All|All|All               All                  All      -0.679414980937481        -2.621594629075119         0.12296009690082876       -0.6271446628215716       
Redshift      All|All|All               All                  All      5.547800357231205         1.316865804583145          7.3438095255532           -1.0504340871815219       
