#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4510.965248810639    All      0.49383619593886907        0.5361775325798845         0.23311355788566537       0.024194753769169925       
Zeropoint     AB|SDSS|SDSS_i            5470.333800610798    All      1.2782900338382044         0.24269431553527454        -0.056194638842997635     -0.33983530417733576       
Zeropoint     AB|SDSS|SDSS_g            3452.178465656895    All      -0.9248744179314439        0.2007059139724987         -0.2608946435461973       0.3549960148984083         
Zeropoint     AB|SDSS|SDSS_z            6503.770889271069    All      0.14868942031072296        0.01932217102265099        0.09030990250479605       -0.03810905297879964       
Check         All|All|All               All                  All      0.9959412321563528         0.9988999331103088         0.006334178001266497      0.0012464115114428215      
Lambda        AB|SDSS|SDSS_r            4510.965248810639    All      -0.0002705971225815849     -0.00017830306802166715    -0.0015993235866978732    -4.130725629240745e-05     
Lambda        AB|SDSS|SDSS_i            5470.333800610798    All      0.000148697254568209       3.719661728294712e-05      0.0001870212654924191     -2.7973525704495264e-05    
Lambda        AB|SDSS|SDSS_g            3452.178465656895    All      -0.0016647593167140211     0.00021673746041001873     -0.0021628640430145936    0.0005163467111501761      
Lambda        AB|SDSS|SDSS_z            6503.770889271069    All      -3.7091083575166876e-05    -4.899529754512653e-06     -2.491335600293663e-05    9.374079494544596e-06      
MWEBV         All|All|All               All                  All      -0.6207962042370527        -2.634481000426092         0.10332860820796512       -0.6513123051676053        
Redshift      All|All|All               All                  All      5.382205490530039          0.8749468140459626         3.5612180046134267        -1.3092416318736275        
