#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5552.045394400906     All      0.10106890379478073       0.1523811159152899         -9.59894935877502         -0.4116429478930517        
Zeropoint     AB|SDSS|SDSS_i            6732.8254394166615    All      1.357578979702548         0.13884204532175204        7.48771193429006          -0.06284052097167997       
Zeropoint     AB|SDSS|SDSS_z            8004.768208209247     All      0.09880650129324209       -0.004773789891743263      -0.020847278979557963     -0.03466982684207974       
Zeropoint     AB|SDSS|SDSS_u            3231.233205737508     All      -0.13513608373203279      0.11366858907848609        0.8434422409832887        0.11868282078997704        
Zeropoint     AB|SDSS|SDSS_g            4248.902506166241     All      -0.4109430602271461       0.6023124257744428         1.4527955508600643        0.3948822398923185         
Check         All|All|All               All                   All      1.0113752408313919        1.0024303861982276         0.1641530883788358        0.004411764975484123       
Lambda        AB|SDSS|SDSS_r            5552.045394400906     All      2.5939197678035884e-05    1.54536387456547e-05       -0.0006440177592773674    -3.2155046238886167e-05    
Lambda        AB|SDSS|SDSS_i            6732.8254394166615    All      -0.0005971557317912171    -6.059391572837173e-05     -0.00303090389482197      3.9520515463268865e-05     
Lambda        AB|SDSS|SDSS_z            8004.768208209247     All      -9.581137131913792e-06    -3.1467812093051484e-07    -6.145538089422519e-05    2.759191623695198e-07      
Lambda        AB|SDSS|SDSS_u            3231.233205737508     All      -8.777377198051329e-05    6.819232903038085e-05      0.0004321819798174008     7.008958705077461e-05      
Lambda        AB|SDSS|SDSS_g            4248.902506166241     All      -0.0001402387771477321    0.00019496462595948032     0.0002094217426858898     0.00011853230679321802     
MWEBV         All|All|All               All                   All      -0.8366569519214377       -3.446298641744505         1.2602988460270723        -0.7938048038818758        
Redshift      All|All|All               All                   All      2.1376105731585904        0.07236124412326461        -8.114633885779169        -1.0348384923084926        
