#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6081.866972861169    All      1.1409467160009683         -0.002454501627635608      -0.5948605620532977       -0.3989892881530638        
Zeropoint     AB|PS|PS_g                4789.127627701424    All      -1.0938423771180172        1.2218275325822425         0.08261927551770454       0.7579767916762818         
Zeropoint     AB|PS|PS_i                7366.45809482053     All      0.5583245465915604         -0.1217741229243785        0.37568049152459154       -0.20476561634432244       
Zeropoint     AB|PS|PS_z                8465.857817001845    All      0.39390816283204955        -0.09858799170761046       0.13960012249524634       -0.1541924878689939        
Check         All|All|All               All                  All      0.9993370483065611         0.999010916322618          0.0030393274842446805     2.9399309901728676e-05     
Lambda        AB|PS|PS_r                6081.866972861169    All      -0.00014866539874650633    -7.854380027152186e-06     -0.0004820001603134566    2.4357327933684227e-05     
Lambda        AB|PS|PS_g                4789.127627701424    All      -0.0003336273425320154     -6.188530707593099e-05     -0.0011759995184077265    3.603586365935696e-05      
Lambda        AB|PS|PS_i                7366.45809482053     All      -6.938190542841988e-05     -1.3575474637185703e-05    -0.0008014454500302656    -1.7586839043293883e-05    
Lambda        AB|PS|PS_z                8465.857817001845    All      0.0005496059858694803      -0.00013642980532993412    0.00020232946870615067    -0.000214435392178069      
MWEBV         All|All|All               All                  All      -0.6796171352237184        -4.064369250169442         0.08710130413259812       -1.0986381877132108        
Redshift      All|All|All               All                  All      4.555445361518801          1.3820281565431358         7.7003070536923675        -0.6900570484103619        
