#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                6081.866972861169    All      1.079624085607488         0.013520821208401479      -0.6655624828510509        -0.37696590376211087      
Zeropoint     AB|PS|PS_g                4789.127627701424    All      -1.0546865263218241       1.2497590649385382        0.10580615209506705        0.7553553856994745        
Zeropoint     AB|PS|PS_i                7366.45809482053     All      0.6205933175795453        -0.08730816725440738      0.3700955230007352         -0.2140711394732417       
Zeropoint     AB|PS|PS_z                8465.857817001845    All      0.36971703961154445       -0.0569133912836528       0.0378202363676583         -0.1372798236198137       
Check         All|All|All               All                  All      1.0152479164767534        1.1190583276088795        -0.15184057138759033       0.027038518844308218      
Lambda        AB|PS|PS_r                6081.866972861169    All      8.291951066969022e-05     0.00014742605443199549    -0.0001531257809328452     1.4178603183878007e-05    
Lambda        AB|PS|PS_g                4789.127627701424    All      -0.0002371468027417588    8.299441430001745e-05     -0.0013627697345231743     4.346637244693855e-05     
Lambda        AB|PS|PS_i                7366.45809482053     All      6.0730208449640994e-05    0.00016879010268026627    -0.0006263793341944439     7.246229786966273e-06     
Lambda        AB|PS|PS_z                8465.857817001845    All      0.0005861282424064609     0.00013936538599628704    -0.00016670068794312192    -0.0001529644464685282    
MWEBV         All|All|All               All                  All      -0.618560237693802        -3.81196243689228         -0.2642700154353861        -1.0519893131313114       
Redshift      All|All|All               All                  All      3.1150530879025666        2.0464326500784225        5.326125535468407          -0.110404312529307        
