#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4517.546941689556    All      1.863450700801486         0.6619214966008258         0.6269379159423412         -0.3634002311780324       
Zeropoint     AB|MEGACAMPSF|z           5204.932842948208    All      1.1391842372062562        0.13134287775056208        -0.2231487915214969        -0.3382451934508597       
Zeropoint     AB|MEGACAMPSF|r           3694.607122734552    All      -2.0015350904129128       0.2058724018173308         -0.40316393412060336       0.7010338870539807        
Check         All|All|All               All                  All      1.0010998475948296        0.9991367761687187         0.0006251903002408854      -0.0006115375749113916    
Lambda        AB|MEGACAMPSF|i           4517.546941689556    All      -0.0005294017736202914    -0.00021360563047356286    -0.0023813065333430634     -3.401580430381485e-06    
Lambda        AB|MEGACAMPSF|z           5204.932842948208    All      0.0002812030953029706     2.7229353467515666e-05     -0.00015822239880658714    -8.978834217327602e-05    
Lambda        AB|MEGACAMPSF|r           3694.607122734552    All      -0.0031013604377098302    0.00021749374910447173     -0.0019907073920239168     0.0009922238677873047     
MWEBV         All|All|All               All                  All      -0.17587149749430186      -1.952228081998797         -0.0045785603390572        -0.578822100088256        
Redshift      All|All|All               All                  All      9.051554426952753         1.093117911595698          3.8004442606156212         -2.422728225294044        
