#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4686.403486747985    All      -0.22881701039825586       0.4215759594352164        1.278076490309088          0.2688890713373998         
Zeropoint     AB|CNIa02|SDSS_r                      6123.728388011518    All      1.0098067478313228         -0.10061512022216945      -0.10481097522249128       -0.3663781666641608        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4341.23861696051     All      -0.8422800016673928        0.5133575877944274        -0.5796446090874596        0.4157088853475044         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5431.117906539097    All      0.4984769077178417         0.25302792551453734       -1.1135711977667828        -0.12964437664408912       
Zeropoint     AB|CNIa02|SDSS_i                      7426.090989180549    All      0.5810337398713423         -0.1092242631597351       0.548385108631011          -0.20036783164450456       
Check         All|All|All                           All                  All      1.018220383354858          0.9781220893622766        0.028434816863365242       -0.011792418267850269      
Lambda        AB|CNIa02|SDSS_g                      4686.403486747985    All      -8.3722747977479e-05       4.460120373725443e-05     -0.0006342711546089207     1.3494724277951558e-05     
Lambda        AB|CNIa02|SDSS_r                      6123.728388011518    All      0.00011714833193673355     -4.907015888466158e-05    -0.00014286800248267993    -6.0518373668248306e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4341.23861696051     All      -0.0004721147144678879     0.00014417861189689948    -0.0007922896956620508     0.00016539076158276431     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5431.117906539097    All      -0.00011117087957972598    3.532760241521608e-05     -0.0011890070016460877     -5.34054632917654e-06      
Lambda        AB|CNIa02|SDSS_i                      7426.090989180549    All      -6.355586981215874e-05     -1.222878291766807e-05    -0.0003793353103748462     -2.0907186542777583e-07    
MWEBV         All|All|All                           All                  All      -0.842472642322087         -4.079826898250083        0.1043360480451172         -1.0498567483211123        
Redshift      All|All|All                           All                  All      5.732931785385073          -1.1213650131926656       8.394972008586432          -1.8580409229320514        
