#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_g                      4686.403486747985    All      -0.38048943796915846       0.5028788869116063         0.968005045102426          0.3309397446448851        
Zeropoint     AB|CNIa02|SDSS_r                      6123.728388011518    All      1.091567142479319          -0.10688617481466878       -0.07103012403393194       -0.3935454215917383       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4341.23861696051     All      -0.8150313875860408        0.45936168132225674        -0.5230043952678675        0.3917724647415634        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5431.117906539097    All      0.5494789873089647         0.2392742605902498         -0.8438993164318926        -0.13870323552764957      
Zeropoint     AB|CNIa02|SDSS_i                      7426.090989180549    All      0.5535238377334843         -0.09801691373532151       0.47135951131880927        -0.1911936476932016       
Check         All|All|All                           All                  All      0.9990491419665687         0.9966117402741226         0.001430720687543241       -0.0007300954261409143    
Lambda        AB|CNIa02|SDSS_g                      4686.403486747985    All      -0.00018950027531671495    1.1501731027043914e-05     -0.0007543933136735645     3.1807857449667925e-05    
Lambda        AB|CNIa02|SDSS_r                      6123.728388011518    All      -5.00633480233133e-05      -2.9579589564354245e-05    -0.00026403010500398967    -5.110216914197892e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4341.23861696051     All      -0.00035377761485449663    7.615224293790372e-05      -0.0007503515805068803     0.00010655755415731524    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5431.117906539097    All      3.578380794626464e-05      -3.439903675251741e-05     -0.0009981009853021305     -6.740152432741822e-05    
Lambda        AB|CNIa02|SDSS_i                      7426.090989180549    All      -9.45058750429022e-05      -1.81420706641525e-06      -0.0004435990362947056     1.039693811208869e-05     
MWEBV         All|All|All                           All                  All      -0.8728106248391909        -4.069184900607237         0.06065792331750584        -1.0384573746819374       
Redshift      All|All|All                           All                  All      5.70841250561418           -0.3474233919984471        7.892651405418116          -1.6203722003486467       
