#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5921.538024923541    All      3.42731559816406         -0.6355884317859051       1.4712111808268702         -1.2577681101552718        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4944.912848118441    All      -2.431264364721219       1.6402205385681157        -1.4713644453149932        1.2605563434140654         
Check         All|All|All                            All                  All      0.9960512334428413       1.0046321067822106        -0.00015326448812302829    0.0027882332587936265      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5921.538024923541    All      0.0003687781930762726    -7.994818483142436e-05    0.00013501242984160323     -0.00014013995928970597    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4944.912848118441    All      -0.000982495777153748    0.0003228986884982138     -0.0029464199734814656     0.00029372473266612404     
MWEBV         All|All|All                            All                  All      -0.4184326856118372      -2.7779802375258456       -0.01961497216389496       -0.7694575905864698        
Redshift      All|All|All                            All                  All      -3.6928396731634447      1.5828337331635467        5.191119941239908          1.9501162339664035         
