#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5921.538024923541    All      3.199808677368903          -0.5946850812842186       0.5550235595051615        -1.2112233000002979      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4944.912848118441    All      -2.20242900677446          1.5980078688595967        -0.552900365237278        1.2132539171324266       
Check         All|All|All                            All                  All      0.9973796705944429         1.003322787575378         0.0021231942678834326     0.002030617132128709     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5921.538024923541    All      -0.00041842166639733725    8.518529310915594e-05     3.4528940905067196e-05    0.0001655822229350122    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4944.912848118441    All      -0.000462908410432893      -6.165754359561921e-06    -0.002447821770072337     3.954106631056056e-05    
MWEBV         All|All|All                            All                  All      -0.4152360411508118        -2.7808689279840593       -0.022398635135630878     -0.7715640064647652      
Redshift      All|All|All                            All                  All      0.9665412527461972         1.4282387367286375        6.262762907094607         0.4298684046431276       
