#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                            6140.068660243455     All      0.42753071731112724       -0.004248355687885841     0.27093831164394233       -0.12855391671133323       
Zeropoint     AB|PS|PS_g                            4834.958177804729     All      -0.2532844381229999       0.33402697076068133       -0.009652160065998228     0.19087591627186956        
Zeropoint     AB|PS|PS_i                            7436.952943369932     All      0.16643751508207014       -0.027624227730860262     0.174347658753099         -0.055431958815555654      
Zeropoint     AB|CNIa02|SDSS_i                      7401.691170407168     All      0.4508770054696496        -0.08797457598916925      0.35196401141495137       -0.1598151504543878        
Zeropoint     AB|CNIa02|SDSS_r                      6103.6077265353015    All      0.8352364218151219        -0.07902469473626272      -0.1549742346662386       -0.3047207122803451        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4326.974660908778     All      -0.7670828763755683       0.6314734944163458        0.06547009240783774       0.4584774506357615         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5413.272947077991     All      0.09944392179138695       0.2888403303409559        -0.5775086609803304       0.03592108208314779        
Check         All|All|All                           All                   All      0.9591582669707879        1.055468941373805         0.12058501850726322       0.03675271072915706        
Lambda        AB|PS|PS_r                            6140.068660243455     All      0.0001316992914107846     9.19879728926284e-06      0.00010911137399348136    -3.5033301591014594e-05    
Lambda        AB|PS|PS_g                            4834.958177804729     All      -0.0002087240298444086    0.00018848428875681207    -7.628550698543672e-05    0.00012597954532384882     
Lambda        AB|PS|PS_i                            7436.952943369932     All      8.467124984771297e-06     2.223656082163318e-05     4.777621390698621e-05     6.61719125150456e-06       
Lambda        AB|CNIa02|SDSS_i                      7401.691170407168     All      3.7998734188748735e-05    2.092420726776563e-06     -3.444876130472745e-05    -1.3233157576781705e-05    
Lambda        AB|CNIa02|SDSS_r                      6103.6077265353015    All      0.00042562023263077763    -3.363275813964895e-05    -9.300411430462889e-05    -0.00015374415453751165    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4326.974660908778     All      -0.0007094470593621193    0.00046961903461827933    -0.0005789895062462559    0.0003582229744705738      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5413.272947077991     All      4.954187338778754e-05     0.0001437086359037735     -0.0007776177688057352    -4.028297006644879e-06     
MWEBV         All|All|All                           All                   All      -0.8726470477980528       -4.022010733427894        0.1346155074628541        -1.0198440915659384        
Redshift      All|All|All                           All                   All      4.304140822115624         -1.2208690550004064       4.0160135937648445        -1.6204612425961717        
