#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                            6140.068660243455     All      0.5092065281654959         -0.02829998324722638       0.21673125448254094        -0.16541183372919027       
Zeropoint     AB|PS|PS_g                            4834.958177804729     All      -0.2830889834553278        0.3608489382100011         0.04166754077811029        0.21161119698759936        
Zeropoint     AB|PS|PS_i                            7436.952943369932     All      0.20022235491369944        -0.03780484976818599       0.18082158701581633        -0.06946405448231877       
Zeropoint     AB|CNIa02|SDSS_i                      7401.691170407168     All      0.3418042763938617         -0.07388534375563083       0.1856395204205453         -0.1271195458800905        
Zeropoint     AB|CNIa02|SDSS_r                      6103.6077265353015    All      0.8090191310435946         -0.09499684493201599       -0.29692455785567773       -0.3077181239093936        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4326.974660908778     All      -0.8201162834475729        0.6106501728700309         0.0660639399579337         0.4689958358605345         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5413.272947077991     All      0.23995168069070164        0.2607422191368336         -0.39235802038385376       -0.010736974054220194      
Check         All|All|All                           All                   All      0.9969987043044523         0.9972543085138064         0.0016412644154150668      0.0001565007929205109      
Lambda        AB|PS|PS_r                            6140.068660243455     All      1.9457467259293517e-05     -6.106271518895409e-06     -3.7674658339894744e-05    -1.0008197710343487e-05    
Lambda        AB|PS|PS_g                            4834.958177804729     All      -0.00013995187853828745    0.00011699924375139915     -0.00024809274156769863    7.262619436316348e-05      
Lambda        AB|PS|PS_i                            7436.952943369932     All      6.3483605122320895e-06     -9.785399926430082e-07     -7.743678946473255e-06     -2.732177368254702e-06     
Lambda        AB|CNIa02|SDSS_i                      7401.691170407168     All      -1.097700242461712e-05     -1.3670276075660137e-05    -0.0002295700431858357     -1.1121944484528507e-05    
Lambda        AB|CNIa02|SDSS_r                      6103.6077265353015    All      0.00012117985426388734     -6.751043106586819e-05     -0.0006651634846073944     -9.114582499054351e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4326.974660908778     All      -0.0005444479999535081     0.00026194917745031544     -0.0007186497723380915     0.00023060005165912215     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5413.272947077991     All      7.116264147507833e-05      4.720771366143611e-05      -0.0007865628554192873     -4.290359576745426e-05     
MWEBV         All|All|All                           All                   All      -0.866877139513281         -4.054259715063591         0.06008333766236832        -1.0355541232216825        
Redshift      All|All|All                           All                   All      5.590537041933111          0.12683409067539841        6.945447986622134          -1.4697643573584624        
