#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3008.9017794607407    All      -0.3082050597365309       0.06046221651097028        0.4597239396799957        0.14060242865917283       
Zeropoint     AB|PS|PS_i                4628.1808698563955    All      0.9709603040883396        0.4834312463854573         0.3757191235553292        -0.14203763445465867      
Zeropoint     AB|PS|PS_r                3821.100997859306     All      -0.8102097202475946       0.1542906100107544         -2.016728629868836        0.2241721524320256        
Zeropoint     AB|PS|PS_z                5318.909127185736     All      1.1386097269724438        0.2997069606152536         1.1800471074743524        -0.2205981474375257       
Check         All|All|All               All                   All      0.9911552510766577        0.9978910335224356         -0.0012384591591585448    0.002138799199014052      
Lambda        AB|PS|PS_g                3008.9017794607407    All      -0.000836519521707977     0.0001326641952313333      0.000780836285356064      0.0003505401589684336     
Lambda        AB|PS|PS_i                4628.1808698563955    All      -0.0006593710046362142    -0.00029019498638089436    -0.002448065751867845     1.1006843729454429e-05    
Lambda        AB|PS|PS_r                3821.100997859306     All      -0.0011868601765628428    8.756414971282894e-05      -0.0036741329078318285    0.0002511622533885053     
Lambda        AB|PS|PS_z                5318.909127185736     All      5.153598555806193e-05     1.0249583515758971e-05     -0.0005348076439142453    -3.731434829268879e-05    
MWEBV         All|All|All               All                   All      -0.4668777085859215       -1.9965415942166942        0.7345831506569811        -0.46548077980155256      
Redshift      All|All|All               All                   All      3.5440283278973825        0.8496575786509197         4.95420320440445          -0.6565618600140238       
