#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3008.9017794607407    All      -0.24898277390019763       0.06069999487721134       0.4062021701809442        0.11900080328736103       
Zeropoint     AB|PS|PS_i                4628.1808698563955    All      0.8731265345360106         0.49719255431135423       0.5274745403837412        -0.09891529908536932      
Zeropoint     AB|PS|PS_r                3821.100997859306     All      -1.0686405079549008        0.2065758194426337        -1.3990149200894564       0.3529483007639345        
Zeropoint     AB|PS|PS_z                5318.909127185736     All      1.4331104336561302         0.2349693716880097        0.47730064429193503       -0.3689742259609529       
Check         All|All|All               All                   All      0.9886136863370425         0.999437740319209         0.01196243476716402       0.004059579004973279      
Lambda        AB|PS|PS_g                3008.9017794607407    All      -0.0007843795564814587     0.00019159625124304735    0.0012833099866442564     0.0003751756599005763     
Lambda        AB|PS|PS_i                4628.1808698563955    All      -0.00031462210118845434    -0.0001573033598535042    -0.001750117667551783     -2.685582381747366e-05    
Lambda        AB|PS|PS_r                3821.100997859306     All      -0.0015091534408846515     0.000275205070634642      -0.002361007920894598     0.00047586333106082527    
Lambda        AB|PS|PS_z                5318.909127185736     All      0.00019339542911597855     5.967781909434823e-07     -0.0008299906447461747    -9.983953395936841e-05    
MWEBV         All|All|All               All                   All      -0.32414111951605795       -2.030446462482516        0.34910816265323036       -0.5402206920791418       
Redshift      All|All|All               All                   All      2.558111817042074          0.048311077572549266      1.3994289603895524        -0.7550745836795296       
