#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4290.234474707267    All      -1.0427549013745732        0.7228300323141035        -0.1866845754967111        0.5667782237282174         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6216.807743532373    All      1.2550964921844863         -0.21002795969629062      0.07531119772861711        -0.47387844227751025       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8096.619670854506    All      0.4783248688398699         -0.10070861898041628      0.051683153588272766       -0.18630387484647976       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5291.039574310631    All      0.3076771073284495         0.58821785020573          0.0627944697228474         0.09418357825058979        
Check         All|All|All                                    All                  All      0.9983435669782325         1.0003113038431266        0.0031042455430261642      0.0007794848548171862      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4290.234474707267    All      -0.0007655376625429356     0.0005829748676497383     -0.0008331574625377961     0.0004020749048289889      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6216.807743532373    All      -0.00034977039263022733    0.00012727397843166955    -0.00034868398532091375    0.00013982888113124811     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8096.619670854506    All      2.6043106503946156e-05     -5.305659984159525e-07    5.025117950619639e-06      -8.43167144727271e-06      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5291.039574310631    All      1.986073798258653e-05      0.0002570218080804854     -0.002049017608901327      -1.4187082189440698e-05    
MWEBV         All|All|All                                    All                  All      -0.7814216679853585        -3.9992862612719726       0.01524920046460522        -1.0474838608543855        
Redshift      All|All|All                                    All                  All      7.356876173626519          -2.838256189333954        12.00521057366851          -2.785152610543286         
