#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4290.234474707267    All      -1.0486874352318323        0.6680526220401717        -0.3209229790445467       0.5448773971149515        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6216.807743532373    All      1.270694807428282          -0.24755754507070904      0.23532105168737605       -0.48404344248137476      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8096.619670854506    All      0.41444209686526834        -0.06410403456893476      0.110260410484464         -0.15095780299603634      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5291.039574310631    All      0.36291327351879843        0.6440753526861798        -0.018468119709913466     0.0907595917808219        
Check         All|All|All                                    All                  All      0.9993627425805165         1.0004663950867076        0.006190363417379885      0.0006357434183623251     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4290.234474707267    All      -0.0006376932240093052     0.00043870806440686976    -0.0006457811408905751    0.00032180106583523324    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6216.807743532373    All      -0.00038346999987042517    0.00012059565712999597    -0.0005215971334281571    0.00014091428329666568    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8096.619670854506    All      3.535518916717214e-05      1.1849504956107967e-05    3.170153457171245e-05     -6.241880773530803e-06    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5291.039574310631    All      -2.7339559817364696e-05    0.00017728992693366583    -0.00239981800087277      -4.043829946857948e-05    
MWEBV         All|All|All                                    All                  All      -0.7904514066452841        -3.994474538102022        -0.004180622783978016     -1.0438423051394603       
Redshift      All|All|All                                    All                  All      7.092912782234572          -2.399995382767983        11.947521477946532        -2.5589894861641307       
