#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6271.420727907837    All      1.3085285905285369         -0.13303733096847736      0.042745312534027455      -0.4676579197654243        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7774.222769407972    All      0.39291075516794743        -0.07381416111078565      0.22236426289663377       -0.14210456425468868       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5286.417058585084    All      0.3856019485316417         0.46265545691612786       -0.33677297479987583      0.010070231542965189       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4311.289072138131    All      -1.0887814639788274        0.742476621083199         0.07379207765848617       0.5997940064173417         
Check         All|All|All                       All                  All      0.9982598302492989         0.9982805859200639        0.002128678289271546      0.00010175394019384942     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6271.420727907837    All      -0.0003587671791577161     2.0837272714625744e-05    -0.0003486818066605156    0.0001080895909966942      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7774.222769407972    All      -4.517660001988651e-05     1.1024308931181355e-05    1.0147302538131328e-05    1.8759312507749792e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5286.417058585084    All      4.448715645544137e-05      7.793546923827353e-05     -0.000910462216437685     -2.9734531227729866e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4311.289072138131    All      -0.00041320299793509236    0.000145207157319634      -0.0009577954874464888    0.00013915054510571902     
MWEBV         All|All|All                       All                  All      -0.8180482052737634        -3.9864653718503895       0.05076495178196921       -1.0297923023395754        
Redshift      All|All|All                       All                  All      3.906940338202432          0.040643575266230414      1.1627046697825172        -1.207493883770683         
