#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6271.420727907837    All      1.3181327333711246        -0.14428323574211532      -0.0714061857228998        -0.4795435233085593       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7774.222769407972    All      0.3897993725199029        -0.07571605859668651      0.21705811353577298        -0.14194738422221123      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5286.417058585084    All      0.3558636413980048        0.45766276959104957       -0.4183323508815229        0.014491073655464523      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4311.289072138131    All      -1.0656477290852684       0.7607357405753135        0.2763791286766515         0.6072467134492779        
Check         All|All|All                       All                  All      0.9981480182037635        0.9983992158275612        0.0036987056080017844      0.0002468795739719587     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6271.420727907837    All      -0.0003245393818332165    2.511106046316215e-05     -0.0002719829338487859     0.00010175530304856514    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7774.222769407972    All      -5.126911849054645e-05    1.0668115227294832e-05    -1.4155976998895523e-05    1.9543278458955244e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5286.417058585084    All      3.645058314912769e-05     7.329064341078548e-05     -0.0011847399560008848     -4.086948329331057e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4311.289072138131    All      -0.0004577675204729525    0.00018355369524434352    -0.0009497227680462472     0.00016651765358142027    
MWEBV         All|All|All                       All                  All      -0.8139697418917597       -3.988443639510564        0.052003358186947235       -1.0317099145104862       
Redshift      All|All|All                       All                  All      3.8840062117862475        -0.18540237400754833      1.4248117138594973         -1.2619574530928486       
