#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7042.949531189868     All      0.9361728095666215         -0.2775900717301383       0.292974747549013         -0.3822883846522948       
Zeropoint     AB|PS|PS_r                5814.7730692161485    All      0.5972917178377778         0.4080879940319804        -1.860155721267509        -0.14464008391512906      
Zeropoint     AB|PS|PS_g                4578.806224940583     All      -0.9316719567270801        0.9695749791958086        0.7806140174128395        0.6541338945630123        
Zeropoint     AB|PS|PS_z                8094.067539092661     All      0.3910678929511411         -0.10057387246868998      0.7684428732008031        -0.12585182143039775      
Check         All|All|All               All                   All      0.9928604636284603         0.9994990290289607        -0.018124083104853472     0.0013536045651907358     
Lambda        AB|PS|PS_i                7042.949531189868     All      -0.0007260922610220225     0.00010870857517266585    -0.001618753722963711     0.00019968455249142018    
Lambda        AB|PS|PS_r                5814.7730692161485    All      -0.00020412006420586381    -5.925042827994368e-05    -0.000989029207905676     3.0529753885480463e-06    
Lambda        AB|PS|PS_g                4578.806224940583     All      -0.0001175296597489143     -3.226132378155253e-05    -0.0002463678133338463    1.6780438286848477e-05    
Lambda        AB|PS|PS_z                8094.067539092661     All      9.604735836703877e-05      -1.849052060167792e-05    0.00041873651517337397    -1.862246787946725e-05    
MWEBV         All|All|All               All                   All      -0.6217048789625572        -3.8455843166805614       0.2131368609164297        -1.040612276147379        
Redshift      All|All|All               All                   All      5.701857772133967          0.0031092258089948643     11.503594499390656        -1.342917296387118        
