#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                7042.949531189868     All      0.9785654747700989         -0.2654040099082877       0.5420791829380736         -0.38101128228529985      
Zeropoint     AB|PS|PS_r                5814.7730692161485    All      0.48850082730493194        0.4648319581759708        -2.0404106123853345        -0.09876388372174333      
Zeropoint     AB|PS|PS_g                4578.806224940583     All      -0.8866069174935665        0.9215613976185644        0.7437470249005965         0.6221699210174308        
Zeropoint     AB|PS|PS_z                8094.067539092661     All      0.416560399608934          -0.12264611784562618      0.7462864142307645         -0.14233396700486822      
Check         All|All|All               All                   All      0.9970197841903983         0.9983432280406213        -0.00829799031589995       6.078800551945207e-05     
Lambda        AB|PS|PS_i                7042.949531189868     All      -0.0007064297676135434     0.00010313108654193064    -0.0014517449607277246     0.00019891589398559476    
Lambda        AB|PS|PS_r                5814.7730692161485    All      -0.0001495833220110268     -2.903093279216807e-05    -0.0008219498744222501     2.5880314081467333e-06    
Lambda        AB|PS|PS_g                4578.806224940583     All      -0.00014404996728862636    3.0113257156642668e-05    -0.00015577439728212507    4.977919609694394e-05     
Lambda        AB|PS|PS_z                8094.067539092661     All      4.270893542119462e-05      -1.105494467657156e-05    0.00025159333614560353     -6.285209461178661e-06    
MWEBV         All|All|All               All                   All      -0.6063566126806403        -3.8558314295352503       0.2373742843490599         -1.0478679283057943       
Redshift      All|All|All               All                   All      5.346331629079041          -0.28302085725719905      8.982140365008433          -1.4328336339837406       
