#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     VEGAHST|KeckAO|Keck_H        7053.881451679296     All      0.7390623476981659         0.09393913896822426       0.7163462898512718         -0.17817060814994054      
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    3889.308153663607     All      -0.5969491538825683        0.22541407224352383       -1.4038285814043094        0.20522433565918624       
Zeropoint     VEGAHST|ACSWF|F775W          3339.4211612610375    All      -0.26425358603968985       0.11648935257291271       0.7337733253053536         0.1567654345861355        
Zeropoint     ST|NICMOS2|F110W_faint       5012.936314003871     All      1.120662813244241          0.5623517374818476        -0.04267799423017804       -0.18376480813417848      
Check         All|All|All                  All                   All      0.998522421020149          0.9981943012665084        0.003613039522137873       5.43539612027355e-05      
Lambda        VEGAHST|KeckAO|Keck_H        7053.881451679296     All      -0.00032602129022577875    -4.01279729525233e-05     -0.00041563480418188397    7.457698667763432e-05     
Lambda        VEGAHST|ACSWF|F850LP_3pix    3889.308153663607     All      -0.0007997053114196678     0.0001405634034318961     -0.002909533108558588      0.0001764373547162988     
Lambda        VEGAHST|ACSWF|F775W          3339.4211612610375    All      -0.0008731368861081679     0.00018813428618351976    -0.0007119621590015926     0.00031391933436757965    
Lambda        ST|NICMOS2|F110W_faint       5012.936314003871     All      -0.0004924150794874513     -0.0003005644215241574    -0.0013369824586374438     2.8286844071544272e-06    
MWEBV         All|All|All                  All                   All      -0.10778413782265428       -1.152861665040561        0.15697471212553493        -0.3334110722008822       
Redshift      All|All|All                  All                   All      3.6524450804614133         0.6020212764958899        6.504558854478515          -0.7033548015967318       
