#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|KeckAO|Keck_H        7053.881451679296     All      0.8952276010543962        0.09522886487083326        0.8614845103033866        -0.22214181051205184       
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    3889.308153663607     All      -0.6380793703276971       0.21529043820649463        -1.437720334874814        0.21381176633757076        
Zeropoint     VEGAHST|ACSWF|F775W          3339.4211612610375    All      -0.30005760537982507      0.12989391333046996        0.7672747338027677        0.17428930203298834        
Zeropoint     ST|NICMOS2|F110W_faint       5012.936314003871     All      1.0422877346452015        0.5575170304911836         -0.18833073750703191      -0.16631010266856064       
Check         All|All|All                  All                   All      0.9993783599920755        0.9979302468989815         0.0027081717243083447     -0.00035084481005337453    
Lambda        VEGAHST|KeckAO|Keck_H        7053.881451679296     All      -0.0003443135145658147    -3.8530332496179636e-05    -0.0004915841305307376    7.76665003866202e-05       
Lambda        VEGAHST|ACSWF|F850LP_3pix    3889.308153663607     All      -0.00071533856286671      0.00021428825937281202     -0.0019568546275188546    0.00021548460529949152     
Lambda        VEGAHST|ACSWF|F775W          3339.4211612610375    All      -0.0007280839862578641    0.00028922510728338687     0.001475973372065718      0.0003972369529362392      
Lambda        ST|NICMOS2|F110W_faint       5012.936314003871     All      -0.0004153582086143805    -0.00027457984337109144    -0.0013834949881094212    -1.588288212628719e-05     
MWEBV         All|All|All                  All                   All      -0.09662657952840137      -1.1588255062669361        0.10224912808502651       -0.34143022677227564       
Redshift      All|All|All                  All                   All      3.3931955890229646        0.33042809251426775        3.6770546682742133        -0.8335540739267524        
