#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_g                      4734.636199567355     All      -0.5197020257960213        0.5077291000052053         -0.1019285906262933       0.33011951429492653       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4385.91887466438      All      -0.8193419731775474        0.5207260323828455         -0.09534175357800584      0.4322495717655395        
Zeropoint     AB|CNIa02|SDSS_i                      7502.5207108347995    All      0.3894339038933062         -0.06837148481380062       0.07047828040023377       -0.14597715449259765      
Zeropoint     AB|CNIa02|SDSS_r                      6186.754124817579     All      1.155577954136993          -0.12238010323201154       0.07932306932460094       -0.4127331585900763       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5487.01525959779      All      0.7932093206870485         0.1594395790575076         0.04844301720342817       -0.2042778658868636       
Check         All|All|All                           All                   All      0.9991771797437788         0.9971431233997463         0.000974022723963755      -0.0006190929090715003    
Lambda        AB|CNIa02|SDSS_g                      4734.636199567355     All      -0.000215508652044311      7.050149489645625e-05      -0.0007752764357557742    5.856588770105088e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4385.91887466438      All      -0.00018054231624762033    -5.377393061645805e-06     -0.0006474641535859754    2.8163626757229935e-05    
Lambda        AB|CNIa02|SDSS_i                      7502.5207108347995    All      -8.208146418115285e-05     -3.449244821710457e-07     -0.0001374509172053319    2.0490476886596525e-05    
Lambda        AB|CNIa02|SDSS_r                      6186.754124817579     All      -0.00019408392394668517    -4.0307499383995126e-05    -0.0006060198653322653    2.3046157332954305e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5487.01525959779      All      5.73996656044011e-05       -6.27859939937521e-05      -0.0005855829349136506    -6.528030022192943e-05    
MWEBV         All|All|All                           All                   All      -0.9237391961981549        -4.112962337510351         0.013013163184583627      -1.0382541817445956       
Redshift      All|All|All                           All                   All      5.4401006656456286         -0.009317330899638598      2.3184263346757534        -1.671594002832146        
